color_number,polygon_id,point_id,hue1,hue2,chroma,value
222,1,4,3P,9P,9,5.5
223,1,1,3P,9P,5,3.5
223,1,2,3P,9P,5,5.5
223,1,3,3P,9P,9,5.5
223,1,4,3P,9P,9,3.5
224,1,1,3P,9P,2,2
224,1,2,3P,9P,2,2.5
224,1,3,3P,9P,3,2.5
224,1,4,3P,9P,3,3.5
224,1,5,3P,9P,7,3.5
224,1,6,3P,9P,7,2
225,1,1,3P,9P,2,0
225,1,2,3P,9P,2,2
225,1,3,3P,9P,7,2
225,1,4,3P,9P,7,0
226,1,1,9PB,3P,1.5,7.5
226,1,2,9PB,3P,1.5,10
226,1,3,9PB,3P,3,10
226,1,4,9PB,3P,3,7.5
226,2,1,3P,9P,1.5,7.5
226,2,2,3P,9P,1.5,10
226,2,3,3P,9P,5,10
226,2,4,3P,9P,5,7.5
227,1,1,9PB,3P,1.5,5.5
227,1,2,9PB,3P,1.5,7.5
227,1,3,9PB,3P,3,7.5
227,1,4,9PB,3P,3,5.5
227,2,1,3P,9P,1.5,5.5
227,2,2,3P,9P,1.5,7.5
227,2,3,3P,9P,5,7.5
227,2,4,3P,9P,5,5.5
227,3,1,9P,1R,1.5,5.5
227,3,2,9P,1R,1.5,6.5
227,3,3,9P,1R,3,6.5
227,3,4,9P,1R,3,5.5
228,1,1,9PB,3P,1.5,3.5
228,1,2,9PB,3P,1.5,5.5
228,1,3,9PB,3P,3,5.5
228,1,4,9PB,3P,3,3.5
228,2,1,3P,9P,1.5,3.5
228,2,2,3P,9P,1.5,5.5
228,2,3,3P,9P,5,5.5
228,2,4,3P,9P,5,3.5
228,3,1,9P,1R,1.5,3.5
228,3,2,9P,1R,1.5,5.5
228,3,3,9P,1R,3,5.5
228,3,4,9P,1R,3,3.5
229,1,1,9PB,1R,0.5,2
229,1,2,9PB,1R,0.5,2.5
229,1,3,9PB,1R,1.5,2.5
229,1,4,9PB,1R,1.5,3.5
229,1,5,9PB,1R,3,3.5
229,1,6,9PB,1R,3,2.5
229,1,7,9PB,1R,2,2.5
229,1,8,9PB,1R,2,2
230,1,1,9PB,1R,1,0
230,1,2,9PB,1R,1,2
230,1,3,9PB,1R,2,2
230,1,4,9PB,1R,2,0
231,1,1,9PB,9RP,0.5,8.5
231,1,2,9PB,9RP,0.5,10
231,1,3,9PB,9RP,1.5,10
231,1,4,9PB,9RP,1.5,8.5
232,1,1,9PB,9RP,0.5,6.5
232,1,2,9PB,9RP,0.5,8.5
232,1,3,9PB,9RP,1.5,8.5
232,1,4,9PB,9RP,1.5,6.5
233,1,1,9PB,1R,0.5,4.5
233,1,2,9PB,1R,0.5,6.5
233,1,3,9PB,1R,1.5,6.5
233,1,4,9PB,1R,1.5,4.5
234,1,1,9PB,1R,0.5,2.5
234,1,2,9PB,1R,0.5,4.5
234,1,3,9PB,1R,1.5,4.5
234,1,4,9PB,1R,1.5,2.5
235,1,1,9PB,1R,0.5,0
235,1,2,9PB,1R,0.5,2
235,1,3,9PB,1R,1,2
235,1,4,9PB,1R,1,0
236,1,1,9P,3RP,13,0
236,1,2,9P,3RP,13,5.5
236,1,3,9P,3RP,15,5.5
236,1,4,9P,3RP,15,6.5
236,1,5,9P,3RP,50,6.5
236,1,6,9P,3RP,50,0
237,1,1,9P,3RP,9,3.5
237,1,2,9P,3RP,9,5.5
237,1,3,9P,3RP,13,5.5
237,1,4,9P,3RP,13,3.5
238,1,1,9P,3RP,7,2
238,1,2,9P,3RP,7,3.5
238,1,3,9P,3RP,13,3.5
238,1,4,9P,3RP,13,2
239,1,1,9P,3RP,7,0
239,1,2,9P,3RP,7,2
239,1,3,9P,3RP,13,2
239,1,4,9P,3RP,13,0
240,1,1,9P,3RP,5,5.5
240,1,2,9P,3RP,5,6.5
240,1,3,9P,3RP,9,6.5
240,1,4,9P,3RP,9,5.5
241,1,1,9P,3RP,5,3.5
241,1,2,9P,3RP,5,5.5
241,1,3,9P,3RP,9,5.5
241,1,4,9P,3RP,9,3.5
242,1,1,9P,3RP,2,2
242,1,2,9P,3RP,2,2.5
242,1,3,9P,3RP,3,2.5
242,1,4,9P,3RP,3,3.5
242,1,5,9P,3RP,7,3.5
242,1,6,9P,3RP,7,2
243,1,1,9P,3RP,2,0
243,1,2,9P,3RP,2,2
243,1,3,9P,3RP,7,2
243,1,4,9P,3RP,7,0
244,1,1,9P,3RP,3,5.5
244,1,2,9P,3RP,3,6.5
244,1,3,9P,3RP,5,6.5
244,1,4,9P,3RP,5,5.5
245,1,1,9P,3RP,3,3.5
245,1,2,9P,3RP,3,5.5
245,1,3,9P,3RP,5,5.5
245,1,4,9P,3RP,5,3.5
246,1,1,9P,9RP,9,7.5
246,1,2,9P,9RP,9,10
246,1,3,9P,9RP,50,10
246,1,4,9P,9RP,50,7.5
247,1,1,9P,9RP,9,6.5
247,1,2,9P,9RP,9,7.5
247,1,3,9P,9RP,50,7.5
247,1,4,9P,9RP,50,6.5
248,1,1,9P,9RP,9,5.5
248,1,2,9P,9RP,9,6.5
248,1,3,9P,9RP,15,6.5
248,1,4,9P,9RP,15,5.5
249,1,1,9P,9RP,5,7.5
249,1,2,9P,9RP,5,10
249,1,3,9P,9RP,9,10
249,1,4,9P,9RP,9,7.5
250,1,1,9P,9RP,5,6.5
250,1,2,9P,9RP,5,7.5
250,1,3,9P,9RP,9,7.5
250,1,4,9P,9RP,9,6.5
251,1,1,3RP,9RP,5,5.5
251,1,2,3RP,9RP,5,6.5
251,1,3,3RP,9RP,9,6.5
251,1,4,3RP,9RP,9,5.5
252,1,1,9P,9RP,1.5,7.5
252,1,2,9P,9RP,1.5,10
252,1,3,9P,9RP,5,10
252,1,4,9P,9RP,5,7.5
253,1,1,9P,9RP,1.5,6.5
253,1,2,9P,9RP,1.5,7.5
253,1,3,9P,9RP,5,7.5
253,1,4,9P,9RP,5,6.5
254,1,1,3RP,1R,11,0
254,1,2,3RP,1R,11,2
254,1,3,3RP,1R,13,2
254,1,4,3RP,1R,13,5.5
254,1,5,3RP,1R,15,5.5
254,1,6,3RP,1R,15,6.5
254,1,7,3RP,1R,50,6.5
254,1,8,3RP,1R,50,0
255,1,1,3RP,1R,11,3.5
255,1,2,3RP,1R,11,5.5
255,1,3,3RP,1R,13,5.5
255,1,4,3RP,1R,13,3.5
256,1,1,3RP,1R,9,2
256,1,2,3RP,1R,9,3.5
256,1,3,3RP,1R,13,3.5
256,1,4,3RP,1R,13,2
257,1,1,3RP,1R,7,0
257,1,2,3RP,1R,7,2
257,1,3,3RP,1R,11,2
257,1,4,3RP,1R,11,0
258,1,1,3RP,1R,7,3.5
258,1,2,3RP,1R,7,5.5
258,1,3,3RP,1R,11,5.5
258,1,4,3RP,1R,11,3.5
259,1,1,3RP,1R,2,2
259,1,2,3RP,1R,2,2.5
259,1,3,3RP,1R,3,2.5
259,1,4,3RP,1R,3,3.5
259,1,5,3RP,1R,9,3.5
259,1,6,3RP,1R,9,2
260,1,1,3RP,1R,2,0
260,1,2,3RP,1R,2,2
260,1,3,3RP,1R,7,2
260,1,4,3RP,1R,7,0
261,1,1,3RP,1R,3,5.5
261,1,2,3RP,1R,3,6.5
261,1,3,3RP,1R,5,6.5
261,1,4,3RP,1R,5,5.5
262,1,1,3RP,1R,3,3.5
262,1,2,3RP,1R,3,5.5
262,1,3,3RP,1R,7,5.5
262,1,4,3RP,1R,7,3.5
263,1,1,1R,7YR,0,8.5
263,1,2,1R,7YR,0,10
263,1,3,1R,7YR,0.5,10
263,1,4,1R,7YR,0.5,8.5
263,2,1,7YR,9Y,0,8.5
263,2,2,7YR,9Y,0,10
263,2,3,7YR,9Y,0.7,10
263,2,4,7YR,9Y,0.7,8.5
263,3,1,9Y,1R,0,8.5
263,3,2,9Y,1R,0,10
263,3,3,9Y,1R,0.5,10
263,3,4,9Y,1R,0.5,8.5
264,1,1,1R,7YR,0,6.5
264,1,2,1R,7YR,0,8.5
264,1,3,1R,7YR,0.5,8.5
264,1,4,1R,7YR,0.5,6.5
264,2,1,7YR,9Y,0,6.5
264,2,2,7YR,9Y,0,8.5
264,2,3,7YR,9Y,0.7,8.5
264,2,4,7YR,9Y,0.7,6.5
264,3,1,9Y,1R,0,6.5
264,3,2,9Y,1R,0,8.5
264,3,3,9Y,1R,0.5,8.5
264,3,4,9Y,1R,0.5,6.5
265,1,1,1R,7YR,0,4.5
265,1,2,1R,7YR,0,6.5
265,1,3,1R,7YR,0.5,6.5
265,1,4,1R,7YR,0.5,4.5
265,2,1,7YR,9Y,0,4.5
265,2,2,7YR,9Y,0,6.5
265,2,3,7YR,9Y,0.7,6.5
265,2,4,7YR,9Y,0.7,4.5
265,3,1,9Y,1R,0,4.5
265,3,2,9Y,1R,0,6.5
265,3,3,9Y,1R,0.5,6.5
265,3,4,9Y,1R,0.5,4.5
266,1,1,1R,7YR,0,2.5
266,1,2,1R,7YR,0,4.5
266,1,3,1R,7YR,0.5,4.5
266,1,4,1R,7YR,0.5,2.5
266,2,1,7YR,9Y,0,2.5
266,2,2,7YR,9Y,0,4.5
266,2,3,7YR,9Y,0.5,4.5
266,2,4,7YR,9Y,0.5,2.5
266,3,1,9Y,1R,0,2.5
266,3,2,9Y,1R,0,4.5
266,3,3,9Y,1R,0.5,4.5
266,3,4,9Y,1R,0.5,2.5
267,1,1,1R,7YR,0,0
267,1,2,1R,7YR,0,2.5
267,1,3,1R,7YR,0.5,2.5
267,1,4,1R,7YR,0.5,0
267,2,1,7YR,9Y,0,0
267,2,2,7YR,9Y,0,2.5
267,2,3,7YR,9Y,0.5,2.5
267,2,4,7YR,9Y,0.5,0
267,3,1,9Y,1R,0,0
267,3,2,9Y,1R,0,2.5
267,3,3,9Y,1R,0.5,2.5
267,3,4,9Y,1R,0.5,0
