Colour name:	red
Number of non-unique CAUS samples:	813
Number of unique CAUS samples:	662
Centroid in Munsell coordinates:	4.27R 3.79/8.82
Centroid in Cartesian coordinates:	 8.51	 2.34	3.79
Polyhedron vertices in Munsell coordinates:
0.48R 3.33/12.39
1.18R 5.07/8.96
2.70R 4.21/14.97
3.33R 5.38/8.13
3.57R 1.44/4.76
3.59R 3.45/13.00
4.56R 5.54/13.24
4.62R 4.79/15.36
4.77R 5.36/6.40
5.32R 2.53/10.48
5.49R 5.93/11.41
5.56R 5.73/8.38
5.80R 1.41/2.19
6.03R 4.95/15.52
6.56R 3.64/2.66
6.58R 3.92/15.25
6.72R 4.24/15.40
7.26R 5.16/14.64
7.47R 1.37/2.79
7.49R 4.43/15.29
7.56R 3.42/13.84
7.70R 5.75/8.83
7.81R 3.15/2.32
8.05R 4.76/14.92
8.86R 3.74/13.14
9.04R 4.45/13.58
9.05R 2.16/8.17
9.22R 5.07/12.73
0.09YR 4.27/9.30
0.94YR 2.40/6.17
0.99YR 5.32/6.94
1.34YR 3.20/4.81
3.31RP 2.91/8.17
6.95RP 1.99/5.87
7.46RP 3.85/3.87
8.31RP 1.72/4.12
8.34RP 4.27/13.02
8.55RP 4.25/13.49
9.56RP 3.18/11.70
Polyhedron vertices in Cartesian coordinates:
1941	ss	women	Rocky Red	2.25R 3.88/10.02	2.25
1933-34	fw	silk	Vintage Red	2.27R 2.29/5.71	2.27
1945-46	fw	women	Clover Red	2.28R 3.07/8.83	2.28
1992	ss	women	Deep Red	2.37R 3.01/10.50	2.37
1984	ss	men	Santa Barbara Red	2.37R 3.82/11.27	2.37
2000-01	fw	women	Banner Red	2.41R 3.75/11.41	2.41
1992-93	fw	men	chili red	2.42R 4.20/14.43	2.42
1958-59	fw	silk	Luminous Red	2.43R 3.82/12.96	2.43
1941	ss	silk	Fandango Red	2.43R 4.13/13.95	2.43
1936	ss	women	Cerise Red	2.52R 3.79/11.29	2.52
1926	ss	silk	Garnet Red	2.53R 3.83/10.12	2.53
1950	ss	silk	Grenadine Red	2.57R 3.35/11.65	2.57
1933	ss	silk	Tuscan Red	2.59R 2.52/8.23	2.59
1941-42	fw	women	American Beauty Red	2.70R 3.16/9.84	2.70
1992-93	fw	youth	Chile Red	2.70R 4.21/14.97	2.70
1991-92	na	interiors	douglas red	2.72R 4.35/9.19	2.72
1936	ss	women	Ruby Red	2.75R 2.17/7.22	2.75
1938	ss	women	Havana Red	2.76R 3.12/10.22	2.76
2001	ss	women	Mars Red	2.80R 5.57/14.15	2.80
