Colour name:	yellow
Number of non-unique CAUS samples:	470
Number of unique CAUS samples:	394
Centroid in Munsell coordinates:	2.64Y 7.44/7.98
Centroid in Cartesian coordinates:	 1.18	 7.90	7.44
Polyhedron vertices in Munsell coordinates:
4.72YR 6.62/10.64
7.01YR 7.57/10.29
7.66YR 7.06/13.12
7.86YR 5.97/9.67
8.42YR 7.60/4.07
9.20YR 7.96/3.52
0.24Y 7.77/12.94
0.82Y 7.16/13.28
1.43Y 8.83/5.46
1.97Y 8.41/11.81
2.43Y 5.43/7.43
2.51Y 4.84/5.30
2.66Y 5.74/8.46
3.14Y 8.94/8.39
3.28Y 5.73/4.23
3.89Y 8.32/13.55
4.27Y 8.68/2.53
4.44Y 8.67/12.03
4.67Y 5.87/7.75
4.90Y 9.28/4.95
4.93Y 8.88/9.66
5.80Y 7.79/12.12
5.80Y 9.21/3.88
6.54Y 8.05/11.81
6.72Y 9.06/3.58
7.24Y 8.81/10.76
8.06Y 9.05/5.35
8.08Y 8.93/8.80
8.10Y 8.85/9.80
8.76Y 7.19/8.47
9.62Y 8.63/10.15
9.88Y 8.46/9.84
0.10GY 8.26/3.69
0.95GY 8.71/5.41
1.19GY 7.92/5.67
Polyhedron vertices in Cartesian coordinates:
1995	ss	youth	Pluto Yellow	0.16Y 7.90/11.55	20.16
1953-54	fw	women	Porcelain Yellow	0.22Y 6.41/6.86	20.22
1997-98	fw	youth	Signal Yellow	0.24Y 7.77/12.94	20.24
1986-87	fw	women	Maize Yellow	0.25Y 7.00/9.42	20.25
1925	ss	silk	Spanish Yellow	0.25Y 7.07/10.37	20.25
1992-93	fw	women	Synchro Yellow	0.27Y 7.39/10.15	20.27
1997-98	fw	women	Rubber Yellow	0.29Y 7.37/11.75	20.29
1968-69	fw	women	Spiffy Yellow	0.30Y 6.86/10.08	20.30
1992	ss	men	Spiral Yellow	0.40Y 6.09/6.91	20.40
1933-34	fw	silk	Honey Yellow	0.49Y 6.58/4.92	20.49
1991	ss	women	Canary Yellow	0.53Y 8.12/9.18	20.53
2001	ss	youth	Tarzan Yellow	0.59Y 6.95/7.95	20.59
1997	ss	women	Infallibility Yellow	0.69Y 7.45/11.18	20.69
1992	ss	youth	chutes yellow	0.69Y 7.68/11.53	20.69
1989	ss	youth	Pottery Yellow	0.74Y 8.33/4.60	20.74
1998-99	fw	youth	Double-Click Yellow	0.78Y 7.71/10.27	20.78
1979	ss	women	Mucho Yellow	0.82Y 7.16/13.28	20.82
1992	ss	youth	amped yellow	0.83Y 7.71/7.56	20.83
1994-95	fw	youth	Hot-Tot Yellow	0.84Y 7.87/12.42	20.84
1996-97	fw	women	Happening Yellow	0.95Y 7.89/8.64	20.95
1939	ss	silk	Starlight Yellow	1.00Y 7.05/11.17	21.00
1995	ss	women	Circuit-Breaker Yellow	1.02Y 8.33/8.64	21.02
1997	ss	youth	Wildlife Yellow	1.04Y 7.43/7.50	21.04
1999	ss	youth	Vegetal Yellow	1.07Y 6.20/7.16	21.07
