Colour name:	mauve
Number of non-unique CAUS samples:	238
Number of unique CAUS samples:	181
Centroid in Munsell coordinates:	1.19RP 5.15/3.85
Centroid in Cartesian coordinates:	 3.28	-2.02	5.15
Polyhedron vertices in Munsell coordinates:
6.12R 7.99/2.53
9.25R 3.26/1.81
0.49YR 3.56/1.06
1.11YR 4.43/2.35
2.31YR 7.62/1.47
2.58YR 6.58/1.07
2.94YR 7.77/1.60
3.36YR 8.01/2.23
3.44YR 3.83/2.15
4.89YR 7.01/2.49
4.91YR 6.00/2.22
7.06YR 5.69/1.37
7.81PB 4.73/3.17
8.91PB 4.00/3.88
9.77PB 6.25/4.27
9.95PB 3.53/4.88
0.70P 4.22/5.53
1.27P 4.66/5.88
1.71P 7.22/2.32
2.64P 3.10/2.14
2.84P 6.16/4.85
3.29P 3.38/6.76
3.64P 3.95/6.80
5.12P 4.78/7.07
5.60P 6.71/4.93
5.71P 5.68/0.90
6.27P 7.15/3.67
6.95P 2.29/3.18
8.01P 4.25/7.90
8.56P 7.45/3.31
9.86P 5.26/8.24
9.86P 6.98/5.40
0.42RP 3.05/1.16
1.20RP 3.27/6.02
1.59RP 6.00/8.41
1.94RP 5.27/9.13
2.79RP 4.44/7.92
3.10RP 2.42/2.94
3.49RP 4.65/7.79
5.49RP 7.20/5.95
6.70RP 3.05/3.83
7.60RP 6.85/6.00
8.11RP 5.34/5.57
8.92RP 4.34/5.15
1940-41	fw	women	Desert Mauve	8.65PB 3.70/5.49	78.65
1951-52	fw	women	Mauve Dusk	8.91PB 4.00/3.88	78.91
1950-51	fw	women	Crayon Mauve	8.98PB 3.07/3.89	78.98
1956	ss	women	Sistine Mauve	9.60PB 5.31/3.88	79.60
1989	ss	men	Massaccio Mauve	9.77PB 6.25/4.27	79.77
1956-57	fw	women	Silver Mauve	9.79PB 4.54/4.34	79.79
1956-57	fw	women	Mauve Twilight	9.95PB 3.53/4.88	79.95
1959-60	fw	women	Mauve Spark	9.98PB 3.76/6.70	79.98
1958	ss	women	Rustic Mauve	0.20P 4.25/4.43	80.20
1991-92	na	interiors	delos mauve	0.29P 3.91/3.73	80.29
1957	ss	silk	Mauve Cornflower	0.38P 4.21/7.80	80.38
1940	ss	women	Horizon Mauve	0.53P 4.31/3.90	80.53
1953-54	fw	women	Mauve Periwinkle	0.70P 4.22/5.53	80.70
2005	ss	men	Dozing Mauve	0.85P 4.31/3.65	80.85
1951	ss	women	Blueberry Mauve	1.00P 2.85/6.11	81.00
1953	ss	women	Tender Mauve	1.04P 5.13/2.96	81.04
1958-59	fw	women	Cruise Mauve	1.27P 4.66/5.88	81.27
1989-90	na	interiors	mauve grey	1.27P 6.38/3.05	81.27
1958	ss	silk	Blossom Mauve	1.60P 5.03/7.67	81.60
1957-58	fw	women	Mauve Gem	1.65P 4.66/5.56	81.65
