Colour name:	coral
Number of non-unique CAUS samples:	279
Number of unique CAUS samples:	215
Centroid in Munsell coordinates:	6.53R 5.84/8.28
Centroid in Cartesian coordinates:	 7.59	 3.30	5.84
Polyhedron vertices in Munsell coordinates:
0.78R 6.05/13.05
1.16R 6.72/11.30
2.35R 7.62/6.36
2.82R 3.99/7.12
2.97R 4.07/6.42
3.03R 4.81/12.71
3.66R 5.40/13.90
4.04R 5.16/13.83
4.18R 3.87/10.09
4.21R 7.08/4.04
4.46R 6.69/11.88
4.93R 4.72/13.53
5.92R 4.49/12.90
6.41R 3.83/8.34
6.73R 7.56/7.86
7.04R 8.02/5.31
7.20R 4.38/11.40
7.93R 3.95/9.86
8.53R 7.18/10.05
8.57R 5.63/13.01
8.89R 4.76/10.82
8.91R 6.39/12.34
9.05R 4.46/9.67
0.06YR 5.70/11.21
2.10YR 7.05/8.78
2.95YR 7.80/3.55
3.47YR 8.00/5.99
3.70YR 4.04/4.17
3.87YR 8.16/5.14
4.45YR 7.12/5.85
4.70YR 8.11/3.63
4.84YR 5.77/5.86
4.95YR 8.13/4.06
5.45YR 6.82/5.12
Polyhedron vertices in Cartesian coordinates:
1974-75	fw	women	Carmine Coral	4.93R 4.72/13.53	4.93
1940-41	fw	silk	Tango Coral	5.25R 5.04/11.26	5.25
1970-71	fw	silk	Coral Glaze	5.25R 6.50/11.45	5.25
1995	ss	youth	Sea Coral	5.33R 6.30/12.30	5.33
1945	ss	silk	Ocean Coral	5.38R 6.36/7.56	5.38
1963	ss	women	Flaming Coral	5.42R 5.30/12.30	5.42
1964	ss	women	Coral Blossom	5.47R 6.56/8.41	5.47
1991-92	fw	youth	fuzzy coral	5.48R 7.54/6.20	5.48
2000-01	fw	women	Over-statement Coral	5.54R 5.09/9.67	5.54
1926	ss	silk	Pink Coral	5.60R 7.29/8.10	5.60
1939	ss	silk	Sea Coral	5.64R 5.42/8.82	5.64
2000	ss	youth	Bird of Paradise Coral	5.69R 6.86/9.25	5.69
1987	ss	youth	Coral	5.79R 5.61/12.87	5.79
1954	ss	silk	Flame Coral	5.87R 5.10/11.78	5.87
1928	ss	women	Coral Rose	5.88R 5.45/6.94	5.88
1986	ss	youth	Shasta Coral	5.91R 6.16/11.20	5.91
1961-62	fw	silk	Coral Caprice	5.92R 4.49/12.90	5.92
1930-31	fw	women	Coralreef	5.93R 4.36/10.68	5.93
1939	ss	women	Coralberry	5.99R 4.83/8.29	5.99
1931	ss	silk	Antique Coral	6.04R 6.38/8.95	6.04
1939-40	fw	silk	Gypsy Coral	6.07R 6.12/9.67	6.07
1981-82	na	interiors	Sea Coral	6.07R 7.18/7.03	6.07
1959	ss	silk	Vivid Coral	6.09R 6.97/8.65	6.09
1940	ss	silk	Dusty Coral	6.10R 5.99/5.41	6.10
1957	ss	silk	Capri Coral	6.14R 6.98/6.71	6.14
2003	ss	women	Birdy Coral	6.15R 6.30/11.78	6.15
1988-89	na	interiors	aphrodite coral	6.17R 7.09/8.98	6.17
1986-87	fw	women	Carribean Coral	6.18R 5.21/10.46	6.18
1928	ss	silk	Coralbell	6.18R 5.58/8.49	6.18
1999	ss	youth	Surf Coral	6.21R 5.65/10.69	6.21
1955	ss	women	Coral Lily	6.22R 5.90/8.67	6.22
1962	ss	women	Coral Pink	6.31R 5.96/9.88	6.31
1981	ss	women	Coral Gem	6.33R 5.89/11.28	6.33
2002	ss	women	Constellation Coral	6.37R 5.09/11.83	6.37
2004	ss	youth	Worth Coral	6.38R 3.30/11.00	6.38
1945	ss	women	Coral Lacquer	6.41R 3.83/8.34	6.41
1956	ss	women	Coral Capucine	6.56R 6.41/6.44	6.56
1993-94	fw	youth	Coral Web	6.68R 5.23/9.91	6.68
1929-30	fw	silk	Venetian Coral	6.69R 7.16/8.37	6.69
2004-05	fw	youth	Video Coral	6.70R 4.42/10.92	6.70
1950	ss	silk	Blossom Coral	6.71R 7.10/5.76	6.71
1965	ss	silk	Fiery Coral	6.72R 5.51/15.02	6.72
1964-65	fw	women	Southsea Coral	6.73R 4.56/11.09	6.73
1967	ss	silk	Peachie Coral	6.73R 7.56/7.86	6.73
1947	ss	women	Coral Dawn	6.83R 6.02/8.98	6.83
1941	ss	silk	Sunset Coral	6.85R 6.56/6.54	6.85
1946	ss	women	Gallant Coral	6.86R 5.57/9.48	6.86
1947	ss	silk	Coral Sun	6.86R 6.59/6.34	6.86
1958	ss	silk	Coral Red	6.90R 4.95/12.30	6.90
1973-74	fw	men	Sierra Coral	6.90R 6.31/10.09	6.90
1937-38	fw	silk	Panama Coral	6.94R 6.27/8.66	6.94
1947	ss	silk	Coral Copper	7.03R 4.11/7.72	7.03
1990-91	fw	youth	Cora's Coral	7.04R 8.02/5.31	7.04
1936	ss	women	Coralite	7.07R 4.89/8.84	7.07
1950	ss	silk	Coral Shrimp	7.09R 6.31/8.34	7.09
1952	ss	women	Coraline Red	7.13R 3.90/11.64	7.13
1957-58	fw	women	Sunset Coral	7.13R 5.97/6.69	7.13
1932	ss	women	Coral Red	7.20R 4.38/11.40	7.20
1933	ss	silk	Coralaque	7.22R 6.35/7.70	7.22
1945-46	fw	women	Beauty Coral	7.28R 5.35/7.01	7.28
1936-37	fw	women	Narragansett Coral	7.31R 4.34/9.94	7.31
1955	ss	silk	Formosa Coral	7.39R 6.19/11.19	7.39
1991-92	fw	youth	chipper coral	7.39R 7.13/10.92	7.39
1944-45	fw	women	Haze Coral	7.41R 5.67/6.82	7.41
1927	ss	silk	Coral Blush	7.52R 6.25/9.54	7.52
1935-36	fw	silk	Coraldust	7.59R 5.90/7.50	7.59
1962	ss	women	Cyrstal Coral	7.68R 6.47/7.60	7.68
1988-89	fw	youth	Charlotte Coral	7.68R 7.35/7.02	7.68
2003-04	fw	men	Medieval Coral	7.69R 4.86/10.35	7.69
1945	ss	silk	Coral Blossom	7.70R 7.03/5.96	7.70
1933	ss	silk	Coralee	7.71R 7.50/5.24	7.71
1944	ss	women	Ming Coral	7.72R 5.96/6.59	7.72
1931	ss	women	Coraltone	7.74R 4.47/7.76	7.74
1987	ss	women	Coralita	7.88R 6.28/7.85	7.88
1936	ss	women	Coralrust	7.90R 4.70/7.71	7.90
1938	ss	women	Bermuda Coral	7.90R 5.30/10.39	7.90
1947-48	fw	silk	Coralsheen	7.91R 6.13/5.19	7.91
2003-04	fw	youth	Vacation Coral	7.93R 3.95/9.86	7.93
1934-35	fw	women	Chinese Coral	7.99R 4.68/9.59	7.99
1964	ss	silk	Castilian Coral	8.01R 6.33/11.87	8.01
1953	ss	silk	Baroque Coral	8.05R 7.50/4.40	8.05
1936	ss	silk	Red Coral	8.08R 5.11/11.74	8.08
1972	ss	women	Lustre Coral	8.12R 7.81/8.10	8.12
1957	ss	women	Coralglow	8.15R 6.50/8.15	8.15
1989	ss	youth	Latino Coral	8.21R 6.65/8.30	8.21
1944	ss	silk	Ming Coral	8.22R 6.13/7.77	8.22
1963	ss	women	Candy Coral	8.22R 6.32/8.77	8.22
1946-47	fw	women	Coral Flame	8.38R 5.37/10.02	8.38
1958-59	fw	women	Island Coral	8.45R 5.66/9.38	8.45
1958	ss	women	Coral TInt	8.47R 7.13/5.27	8.47
1966	ss	women	Cornish Coral	8.51R 5.62/9.62	8.51
1974	ss	women	Tasman Coral	8.53R 7.18/10.05	8.53
1999-2000	fw	youth	Sweater Set Coral	8.57R 5.63/13.01	8.57
1945	ss	women	Daybreak Coral	8.62R 6.80/6.14	8.62
1948	ss	women	Tahiti Coral	8.65R 5.62/6.75	8.65
1942	ss	silk	Romance Coral	8.68R 7.19/5.53	8.68
