Colour name:	gray
Number of non-unique CAUS samples:	599
Number of unique CAUS samples:	485
Centroid in Munsell coordinates:	9.62P 5.25/0.55
Centroid in Cartesian coordinates:	 0.43	-0.33	5.25
Polyhedron vertices in Munsell coordinates:
0.37R 2.68/1.04
3.16R 4.78/2.49
4.35R 4.29/2.13
7.10R 2.80/1.10
7.32R 2.09/0.60
9.42R 5.78/2.46
0.15YR 3.12/1.27
1.25YR 7.11/2.14
1.85YR 6.08/2.46
9.63YR 5.38/2.64
0.80Y 8.52/1.93
1.40Y 7.32/3.21
3.75Y 2.26/1.00
7.62Y 8.52/0.55
0.65GY 7.11/1.68
1.56GY 4.03/1.43
3.25GY 8.36/0.76
3.55GY 8.46/0.20
3.73GY 8.36/0.73
6.75GY 4.21/1.16
7.46GY 5.39/1.33
3.08B 7.07/1.27
4.36B 3.77/1.21
8.96B 7.75/1.29
9.25B 5.49/3.22
9.52B 2.65/1.01
2.64PB 2.10/0.76
3.29PB 8.01/0.64
4.53PB 5.21/3.85
4.83PB 6.69/2.29
5.20PB 3.17/2.22
7.00PB 3.77/3.10
7.61PB 4.77/4.04
7.78PB 6.16/2.80
0.14P 3.10/2.70
0.68P 3.47/3.08
1.10P 1.99/0.49
8.02P 4.46/2.90
4.82RP 5.27/2.44
Polyhedron vertices in Cartesian coordinates:
1987-88	fw	youth	Reddish Gray	7.35R 4.97/1.39	7.35
1984-85	fw	women	Dove Grey	7.41R 3.86/0.92	7.41
1943-44	fw	women	Eagle Grey	7.87R 4.43/0.32	7.87
1988	ss	men	Cord Grey	8.07R 4.84/0.95	8.07
1936-37	fw	women	Reddish Gray	8.17R 5.14/0.66	8.17
1940-41	fw	silk	Stroller Grey	8.35R 3.29/0.97	8.35
1938-39	fw	women	Greyslate	8.36R 2.86/0.48	8.36
1927-28	fw	women	Mole Grey	8.62R 3.06/0.54	8.62
1940-41	fw	women	Cruiser Grey	8.62R 3.45/0.47	8.62
1953-54	fw	women	Bayberry Gray	8.99R 4.86/0.29	8.99
1930-31	fw	silk	Shadow Grey	9.14R 6.87/1.74	9.14
1948	ss	silk	Summer Grey	9.37R 5.63/1.41	9.37
1933	ss	silk	Trotteur Grey	9.42R 5.78/2.46	9.42
1942-43	fw	women	Gunpowder Grey	9.44R 2.10/0.27	9.44
1989	ss	men	Oxide Gray	9.55R 3.45/0.35	9.55
1934	ss	women	Graycloud	9.56R 4.90/0.85	9.56
1943-44	fw	silk	Eagle Grey	9.57R 4.62/0.86	9.57
1990-91	na	interiors	oxford gray	9.75R 6.14/1.32	9.75
1996	ss	men	Good Customs Gray	0.15YR 3.12/1.27	10.15
1985-86	na	interiors	Fuchao Grey	0.31YR 6.57/0.77	10.31
1940-41	fw	women	Pottery Grey	1.01YR 5.20/0.70	11.01
1952-53	fw	women	Gray Carbon	1.05YR 2.63/0.38	11.05
1929	ss	women	Cloud Grey	1.05YR 5.44/0.80	11.05
1947-48	fw	women	Steel Grey	1.08YR 4.87/0.48	11.08
1933	ss	silk	Casino Grey	1.25YR 7.11/2.14	11.25
1944	ss	silk	Willlow Grey	1.41YR 5.53/1.65	11.41
1994	ss	youth	Back-Pack Gray	1.50YR 4.43/0.47	11.50
1938	ss	women	Paddock Grey	1.84YR 5.40/0.81	11.84
1986-87	fw	women	Seine Grey	1.85YR 6.08/2.46	11.85
1950	ss	women	Airway Grey	2.00YR 5.27/0.82	12.00
1931	ss	silk	Sky Grey	2.00YR 6.17/0.63	12.00
1952	ss	women	Boulevard Gray	2.21YR 4.58/0.22	12.21
1943	ss	silk	Flight Grey	2.45YR 5.78/3.05	12.45
1942-43	fw	silk	Pursuit Grey	2.45YR 5.87/1.90	12.45
1982	ss	men	Traditional Grey	2.52YR 6.08/0.73	12.52
1927-28	fw	women	Chickadee Grey	2.56YR 3.93/0.77	12.56
1926-27	fw	women	Cloud Grey	2.63YR 5.50/0.87	12.63
1945	ss	women	Marine Grey	2.71YR 5.08/0.49	12.71
1926	ss	silk	Crystal Grey	3.03YR 6.21/1.07	13.03
1953-54	fw	women	Gray Opal	3.10YR 5.67/0.25	13.10
1983-84	fw	men	Brownish Gray	3.11YR 3.25/0.47	13.11
1938-39	fw	women	Grey Earth	3.46YR 5.19/0.79	13.46
1940-41	fw	silk	Opaline Grey	3.46YR 6.55/1.50	13.46
1936	ss	women	Norfold grey	3.54YR 5.11/0.98	13.54
1955	ss	silk	Gray Quartz	3.59YR 4.87/1.70	13.59
1996-97	fw	women	First Cause Gray	3.63YR 1.84/1.17	13.63
1926-27	fw	women	Chateau Grey	3.69YR 5.03/1.01	13.69
1983-84	fw	women	Bassoon Grey	3.85YR 2.91/0.43	13.85
1987-88	na	interiors	Haze Grey	4.00YR 6.07/0.78	14.00
1932-33	fw	women	Fleet Grey	4.47YR 3.34/0.76	14.47
1984-85	fw	men	Taupe Grey	4.53YR 4.62/1.05	14.53
1944	ss	women	Cloud Grey	4.56YR 6.14/0.83	14.56
1989-90	fw	women	Medium Grey	4.59YR 4.83/1.85	14.59
1929-30	fw	women	Torpedo Grey	4.60YR 2.27/0.35	14.60
1938	ss	silk	Platinum Grey	4.63YR 6.10/1.25	14.63
1940	ss	silk	Cosmos grey	4.77YR 6.48/0.36	14.77
1987	ss	men	Algonian Grey	4.80YR 5.43/1.16	14.80
1981-82	na	interiors	Sylvan Gray	4.83YR 6.10/0.46	14.83
1934	ss	women	Steamgrey	4.84YR 5.82/1.24	14.84
1998-99	fw	youth	Fairyland Gray	4.96YR 6.44/0.20	14.96
1955	ss	women	Gray Pepper	5.08YR 4.07/0.84	15.08
1997-98	fw	women	Positive Gray	5.13YR 3.29/1.14	15.13
1927	ss	women	Cloud Grey	5.16YR 5.52/0.47	15.16
1933	ss	women	Riviera Grey	5.17YR 6.27/0.80	15.17
1950-51	fw	silk	Smoke Gray	5.36YR 4.13/0.81	15.36
1932	ss	silk	Ascot Grey	5.48YR 6.70/0.49	15.48
1989-90	fw	women	Pink Grey	5.52YR 6.42/1.47	15.52
1969-70	fw	silk	Pigeon Gray	5.56YR 4.54/0.65	15.56
1983-84	fw	women	Piano Grey	5.57YR 3.73/1.13	15.57
1951	ss	women	Graychalk	5.66YR 5.18/0.47	15.66
1940	ss	women	Greywing	5.68YR 5.60/0.60	15.68
1967	ss	silk	Gray Steel	5.71YR 7.24/0.61	15.71
1938	ss	women	Platinum Grey	5.76YR 5.99/0.66	15.76
1985-86	fw	women	Beech Grey	5.84YR 6.58/1.25	15.84
1946	ss	silk	Dew Grey	5.91YR 6.62/1.10	15.91
1933-34	fw	silk	Greyhaze	5.95YR 6.14/1.24	15.95
1925-26	fw	silk	Frost Grey	5.96YR 5.16/0.87	15.96
1999-2000	na	interiors	Light Brownish Gray	5.97YR 5.55/0.91	15.97
1961-62	fw	women	Marble Gray	5.98YR 5.71/1.02	15.98
1941-42	fw	silk	Gungrey	6.17YR 2.59/0.74	16.17
1937	ss	women	Burlingham Grey	6.18YR 5.17/1.02	16.18
2007	ss	women	Light Brownish Gray	6.22YR 5.88/0.88	16.22
1981-82	fw	women	Dawn Gray	6.27YR 5.65/1.48	16.27
1946-47	fw	women	Avenue Grey	6.32YR 3.99/0.64	16.32
1989-90	fw	men	Grey Mauve	6.38YR 3.57/0.51	16.38
1951-52	fw	women	Graybirch	6.45YR 4.82/0.54	16.45
1998	ss	youth	Who's-In-My-Shadow Gray	6.55YR 5.24/0.44	16.55
1925	ss	silk	French Grey	6.81YR 6.69/0.63	16.81
1958	ss	silk	Quiet Gray	6.85YR 7.56/1.09	16.85
1931	ss	women	Sky Grey	6.97YR 5.80/0.93	16.97
1932	ss	women	Greymist	7.07YR 5.03/1.13	17.07
1950-51	fw	silk	Antique Gray	7.37YR 5.11/1.18	17.37
1946	ss	women	Flotilla Grey	7.43YR 5.80/1.37	17.43
1980-81	fw	men	Spire Gray	7.44YR 5.68/0.61	17.44
1999-2000	fw	men	Graphite Gray	7.45YR 4.78/0.33	17.45
1934-35	fw	women	Putty Grey	7.45YR 5.37/1.55	17.45
1934	ss	silk	Chalk Grey	7.71YR 6.75/0.76	17.71
1924-25	fw	silk	Stone Grey	7.74YR 3.85/0.71	17.74
2002-03	fw	women	Tapestry Gray	7.94YR 4.87/1.31	17.94
1957-58	fw	women	Pumice Gray	7.97YR 5.03/0.45	17.97
1959	ss	women	Gray Pearl	7.99YR 5.56/0.24	17.99
1941	ss	women	Porcelain Grey	8.02YR 6.04/0.86	18.02
1972	ss	silk	Putty Gray	8.07YR 6.97/0.84	18.07
1986-87	fw	women	Pontneuf Grey	8.11YR 6.67/1.69	18.11
1932	ss	women	Lido Grey	8.17YR 5.83/1.15	18.17
1990	ss	men	Sea Gull Gray	8.18YR 4.62/2.65	18.18
1941	ss	women	Grey Clay	8.20YR 5.26/0.73	18.20
1931	ss	silk	Moon Grey	8.21YR 6.74/0.92	18.21
1955	ss	women	Gray Shadow	8.24YR 6.52/0.72	18.24
1984	ss	women	Conch Grey	8.37YR 7.15/2.12	18.37
1948	ss	silk	Grey Cloud	8.41YR 7.06/1.70	18.41
1932	ss	silk	Haze Grey	8.49YR 6.91/0.61	18.49
1940	ss	silk	Highland Grey	8.91YR 5.01/0.24	18.91
1930	ss	women	Castle Grey	8.96YR 4.71/1.15	18.96
1932-33	fw	women	Greygull	8.99YR 5.11/1.13	18.99
1933	ss	silk	Vapor Grey	9.21YR 6.16/0.84	19.21
1943	ss	women	Flight Grey	9.53YR 6.07/0.80	19.53
2003	ss	women	Boulder Gray	9.57YR 6.85/1.40	19.57
1998-99	fw	men	Puccini's Gray`	9.61YR 4.42/1.96	19.61
1965-66	fw	silk	Castor Gray	9.62YR 5.47/1.45	19.62
1973-74	fw	men	Clear Gray	9.63YR 5.38/2.64	19.63
1930	ss	women	Cloud Grey	9.71YR 5.72/0.71	19.71
1991	ss	men	pebble gray	9.72YR 7.21/0.06	19.72
1984	ss	women	Oyster Grey	9.75YR 7.72/0.71	19.75
1948	ss	women	Moonlit Grey	9.78YR 6.26/1.00	19.78
1965-66	fw	women	Chateau Gray	9.86YR 6.72/0.44	19.86
1962-63	fw	women	Clay Gray	9.90YR 4.03/1.87	19.90
1975-76	fw	women	Nickel Gray	9.99YR 6.73/0.80	19.99
1995-96	fw	women	Pinkish Gray	0.12Y 6.75/0.81	20.12
1985-86	fw	women	Ashwood Grey	0.16Y 5.64/1.73	20.16
1984	ss	women	Pearl Grey	0.24Y 7.44/1.01	20.24
