source,r,g,b,python_munsell,python_success,rust_munsell,rust_success,reference_munsell,match_analysis
random,57,12,140,2.2P 4.1/16.8,True,8.7PB 2.0/15.9,True,,DIFFERENT_ALGORITHMS
random,125,114,71,0.3GY 7.2/3.0,True,8.2Y 4.7/3.8,True,,DIFFERENT_ALGORITHMS
random,52,44,216,9.1PB 5.4/14.6,True,7.4PB 3.2/21.2,True,,DIFFERENT_ALGORITHMS
random,16,15,47,8.3PB 3.1/5.8,True,0.6P 0.6/3.6,True,,DIFFERENT_ALGORITHMS
random,111,119,13,2.6GY 7.1/8.7,True,2.8GY 4.7/7.6,True,,DIFFERENT_ALGORITHMS
random,101,214,112,1.2G 8.8/6.7,True,0.7G 7.7/11.6,True,,DIFFERENT_ALGORITHMS
random,229,142,3,4.3Y 8.1/11.6,True,7.8YR 6.6/12.3,True,,DIFFERENT_ALGORITHMS
random,81,216,174,8.8G 8.8/5.9,True,6.4G 7.8/9.4,True,,DIFFERENT_ALGORITHMS
random,142,79,110,4.3RP 6.6/4.5,True,5.1RP 4.1/6.2,True,,DIFFERENT_ALGORITHMS
random,172,52,47,7.2R 6.1/7.9,True,7.8R 4.0/11.2,True,,DIFFERENT_ALGORITHMS
random,194,49,183,8.9P 6.5/13.8,True,9.6P 4.7/15.0,True,,DIFFERENT_ALGORITHMS
random,176,135,22,7.1Y 7.7/8.2,True,3.6Y 5.8/8.9,True,,DIFFERENT_ALGORITHMS
random,235,63,193,0.3RP 7.1/13.2,True,1.8RP 5.6/15.0,True,,DIFFERENT_ALGORITHMS
random,40,150,185,1.3B 7.6/6.3,True,4.6B 5.7/7.2,True,,DIFFERENT_ALGORITHMS
random,98,35,23,1.9YR 4.9/5.7,True,1.8YR 2.3/6.5,True,,DIFFERENT_ALGORITHMS
random,116,148,40,5.5GY 7.7/7.3,True,5.8GY 5.6/8.8,True,,DIFFERENT_ALGORITHMS
random,119,51,194,4.3P 6.0/12.8,True,1.4P 3.8/17.4,True,,DIFFERENT_ALGORITHMS
random,142,232,186,4.2G 9.3/5.1,True,4.0G 8.5/7.3,True,,DIFFERENT_ALGORITHMS
random,83,189,181,3.8BG 8.4/4.9,True,3.5BG 7.0/7.2,True,,DIFFERENT_ALGORITHMS
random,107,136,36,5.3GY 7.4/7.2,True,5.7GY 5.2/8.3,True,,DIFFERENT_ALGORITHMS
random,87,125,83,10.0GY 7.2/3.8,True,9.7GY 4.8/5.3,True,,DIFFERENT_ALGORITHMS
random,236,194,138,4.4Y 9.1/3.0,True,1.3Y 8.0/5.6,True,,DIFFERENT_ALGORITHMS
random,112,166,28,6.0GY 7.9/9.4,True,6.9GY 6.1/11.0,True,,DIFFERENT_ALGORITHMS
random,117,16,161,6.2P 4.9/17.7,True,3.7P 3.1/16.4,True,,DIFFERENT_ALGORITHMS
random,205,137,33,4.1Y 7.9/7.7,True,9.4YR 6.1/10.1,True,,DIFFERENT_ALGORITHMS
random,108,161,108,0.6G 8.0/4.2,True,0.4G 6.0/6.6,True,,DIFFERENT_ALGORITHMS
random,255,202,234,7.7RP 9.4/2.7,True,3.1RP 8.6/5.0,True,,DIFFERENT_ALGORITHMS
random,73,135,71,0.4G 7.3/5.8,True,0.0G 5.0/7.8,True,,DIFFERENT_ALGORITHMS
random,126,134,219,7.0PB 7.8/5.0,True,7.9PB 5.8/10.4,True,,DIFFERENT_ALGORITHMS
random,204,185,112,0.2GY 8.8/3.5,True,7.4Y 7.5/5.8,True,,DIFFERENT_ALGORITHMS
random,70,252,46,9.6GY 9.1/13.2,True,9.8GY 8.7/17.7,True,,DIFFERENT_ALGORITHMS
random,24,56,78,5.0B 5.1/4.0,True,8.3B 2.2/3.6,True,,DIFFERENT_ALGORITHMS
random,81,216,32,8.5GY 8.6/11.9,True,9.2GY 7.6/15.9,True,,DIFFERENT_ALGORITHMS
random,197,195,239,FAILED,False,8.5PB 8.0/4.6,True,,CONVERSION_FAILED
random,128,5,58,4.4RP 4.3/14.6,True,1.2R 2.6/9.6,True,,DIFFERENT_ALGORITHMS
random,136,174,57,5.9GY 8.2/6.9,True,6.2GY 6.5/9.6,True,,DIFFERENT_ALGORITHMS
random,150,222,80,7.3GY 9.0/7.3,True,7.9GY 8.1/11.9,True,,DIFFERENT_ALGORITHMS
random,232,1,134,2.4RP 5.4/21.0,True,6.8RP 5.0/18.0,True,,DIFFERENT_ALGORITHMS
random,91,54,152,3.0P 5.8/9.2,True,0.8P 3.2/12.0,True,,DIFFERENT_ALGORITHMS
random,101,78,191,1.0P 6.5/8.6,True,9.7PB 4.0/14.1,True,,DIFFERENT_ALGORITHMS
random,82,0,165,3.9P 4.0/22.2,True,0.5P 2.5/10.0,True,,DIFFERENT_ALGORITHMS
random,250,9,57,9.1RP 5.6/17.2,True,5.9R 5.2/18.6,True,,DIFFERENT_ALGORITHMS
random,185,157,122,5.2Y 8.3/2.2,True,2.2Y 6.5/3.7,True,,DIFFERENT_ALGORITHMS
random,29,123,40,1.0G 6.7/9.3,True,0.0G 4.4/9.7,True,,DIFFERENT_ALGORITHMS
random,43,248,35,0.1G 8.9/14.3,True,9.9GY 8.6/18.2,True,,DIFFERENT_ALGORITHMS
random,64,65,243,8.6PB 6.1/13.2,True,7.6PB 3.9/22.1,True,,DIFFERENT_ALGORITHMS
random,84,135,216,1.7PB 7.6/5.7,True,5.2PB 5.5/10.5,True,,DIFFERENT_ALGORITHMS
random,108,102,159,9.0PB 7.0/4.0,True,9.1PB 4.5/6.7,True,,DIFFERENT_ALGORITHMS
random,204,191,224,FAILED,False,2.4P 7.9/3.3,True,,CONVERSION_FAILED
random,231,61,126,4.7RP 6.9/10.9,True,8.8RP 5.3/15.0,True,,DIFFERENT_ALGORITHMS
random,115,32,173,5.3P 5.4/14.8,True,2.4P 3.3/15.0,True,,DIFFERENT_ALGORITHMS
random,10,117,112,4.6BG 6.6/7.6,True,3.1BG 4.3/6.0,True,,DIFFERENT_ALGORITHMS
random,3,36,30,1.1BG 3.9/5.3,True,8.2G 1.1/3.1,True,,DIFFERENT_ALGORITHMS
random,117,34,16,2.4YR 5.1/7.5,True,1.4YR 2.6/8.4,True,,DIFFERENT_ALGORITHMS
random,169,36,121,1.6RP 5.8/12.4,True,4.2RP 3.9/13.0,True,,DIFFERENT_ALGORITHMS
random,142,248,109,8.9GY 9.4/10.1,True,9.4GY 8.9/12.7,True,,DIFFERENT_ALGORITHMS
random,67,242,124,3.1G 9.0/8.9,True,1.5G 8.5/14.1,True,,DIFFERENT_ALGORITHMS
random,242,208,97,8.5Y 9.2/6.3,True,5.2Y 8.4/8.5,True,,DIFFERENT_ALGORITHMS
random,48,49,220,8.5PB 5.5/14.1,True,7.8PB 3.3/15.0,True,,DIFFERENT_ALGORITHMS
random,181,216,210,5.3G 9.2/2.1,True,8.8G 8.3/2.9,True,,DIFFERENT_ALGORITHMS
random,239,27,50,1.9R 6.0/14.2,True,6.5R 5.0/17.7,True,,DIFFERENT_ALGORITHMS
random,31,206,173,2.5BG 8.4/8.3,True,8.9G 7.4/10.0,True,,DIFFERENT_ALGORITHMS
random,55,127,98,6.3G 7.1/5.1,True,4.4G 4.7/6.2,True,,DIFFERENT_ALGORITHMS
random,97,229,71,9.6GY 8.9/9.4,True,9.6GY 8.1/14.9,True,,DIFFERENT_ALGORITHMS
random,216,93,142,4.9RP 7.4/7.0,True,7.0RP 5.5/11.6,True,,DIFFERENT_ALGORITHMS
random,236,127,38,0.2Y 7.9/8.0,True,4.3YR 6.3/12.5,True,,DIFFERENT_ALGORITHMS
random,226,50,25,FAILED,False,8.5R 4.9/16.5,True,,CONVERSION_FAILED
