source,r,g,b,python_munsell,python_success,rust_munsell,rust_success,reference_munsell,match_analysis
random,7,47,121,2.5PB 4.8/9.0,True,6.2PB 2.2/9.9,True,,DIFFERENT_ALGORITHMS
random,85,208,248,1.5B 8.8/5.2,True,4.6B 7.8/8.0,True,,DIFFERENT_ALGORITHMS
random,246,109,205,0.9RP 8.0/8.4,True,2.0RP 6.5/14.8,True,,DIFFERENT_ALGORITHMS
random,30,84,194,3.4PB 6.2/9.4,True,6.4PB 3.8/14.3,True,,DIFFERENT_ALGORITHMS
random,1,199,135,9.2G 8.1/10.9,True,3.9G 7.0/11.4,True,,DIFFERENT_ALGORITHMS
random,232,146,216,0.2RP 8.5/5.0,True,0.3RP 7.0/10.3,True,,DIFFERENT_ALGORITHMS
random,249,79,97,2.0R 7.3/8.7,True,5.2R 5.8/14.5,True,,DIFFERENT_ALGORITHMS
random,151,111,29,5.8Y 7.2/6.6,True,2.5Y 4.9/7.4,True,,DIFFERENT_ALGORITHMS
random,31,160,29,0.2G 7.4/12.1,True,9.7GY 5.7/13.0,True,,DIFFERENT_ALGORITHMS
random,25,244,80,2.3G 8.8/12.6,True,0.6G 8.4/16.9,True,,DIFFERENT_ALGORITHMS
random,29,41,95,5.9PB 4.7/6.5,True,6.7PB 1.8/7.1,True,,DIFFERENT_ALGORITHMS
random,35,34,120,8.5PB 4.6/9.8,True,7.4PB 1.9/11.3,True,,DIFFERENT_ALGORITHMS
random,206,61,126,3.9RP 6.7/10.1,True,7.0RP 4.8/13.5,True,,DIFFERENT_ALGORITHMS
random,20,41,214,7.2PB 5.0/15.6,True,7.0PB 3.0/21.6,True,,DIFFERENT_ALGORITHMS
random,161,133,104,4.0Y 7.8/2.1,True,1.2Y 5.6/3.4,True,,DIFFERENT_ALGORITHMS
random,160,122,135,FAILED,False,8.8RP 5.4/3.3,True,,CONVERSION_FAILED
random,202,67,153,1.6RP 6.9/10.2,True,3.4RP 5.0/13.8,True,,DIFFERENT_ALGORITHMS
random,234,161,37,4.4Y 8.4/8.1,True,9.8YR 7.1/11.3,True,,DIFFERENT_ALGORITHMS
random,4,234,51,1.8G 8.5/15.0,True,0.2G 8.1/17.6,True,,DIFFERENT_ALGORITHMS
random,37,109,135,1.3B 6.7/5.1,True,4.3B 4.2/5.3,True,,DIFFERENT_ALGORITHMS
random,67,178,35,8.9GY 7.9/10.8,True,9.2GY 6.3/13.4,True,,DIFFERENT_ALGORITHMS
random,125,189,145,2.4G 8.5/3.7,True,2.2G 7.1/6.5,True,,DIFFERENT_ALGORITHMS
random,80,224,154,5.2G 8.9/6.6,True,3.4G 8.0/11.0,True,,DIFFERENT_ALGORITHMS
random,4,153,53,2.8G 7.2/12.0,True,0.5G 5.4/11.8,True,,DIFFERENT_ALGORITHMS
random,68,135,59,9.9GY 7.2/6.8,True,9.5GY 5.0/8.7,True,,DIFFERENT_ALGORITHMS
random,54,79,139,3.7PB 6.1/5.5,True,5.9PB 3.4/7.6,True,,DIFFERENT_ALGORITHMS
random,144,107,175,5.2P 7.3/4.8,True,4.0P 5.0/8.4,True,,DIFFERENT_ALGORITHMS
random,104,135,250,5.8PB 7.8/6.7,True,7.1PB 5.8/13.9,True,,DIFFERENT_ALGORITHMS
random,128,26,47,9.0RP 5.0/9.1,True,5.1R 2.8/8.8,True,,DIFFERENT_ALGORITHMS
random,216,141,22,4.2Y 8.0/9.1,True,9.0YR 6.4/11.1,True,,DIFFERENT_ALGORITHMS
random,1,170,66,3.5G 7.5/12.2,True,0.8G 6.0/12.7,True,,DIFFERENT_ALGORITHMS
random,134,82,226,3.0P 6.9/10.3,True,1.0P 4.7/15.0,True,,DIFFERENT_ALGORITHMS
random,218,4,57,7.9RP 5.2/17.5,True,6.4R 4.5/15.0,True,,DIFFERENT_ALGORITHMS
reference,0,0,0,FAILED,False,N 0.0,True,N 0.0,RUST_MATCHES_REF
reference,0,68,119,5.7B 5.3/7.7,True,2.9PB 2.8/7.0,True,2.9PB 2.8/7.0,RUST_MATCHES_REF
reference,0,102,68,8.6G 6.1/9.0,True,3.4G 3.7/7.0,True,3.4G 3.7/7.0,RUST_MATCHES_REF
reference,0,34,17,4.5G 3.7/6.8,True,1.4G 1.0/3.8,True,1.4G 1.0/3.8,RUST_MATCHES_REF
reference,0,68,136,8.0B 5.4/8.6,True,5.1PB 2.9/9.1,True,5.1PB 2.9/9.1,RUST_MATCHES_REF
reference,0,102,85,2.5BG 6.1/8.4,True,8.3G 3.7/6.1,True,8.3G 3.8/6.1,ALL_DIFFERENT
reference,0,34,34,4.3BG 3.8/5.5,True,3.0BG 1.1/3.0,True,3.0BG 1.1/3.0,RUST_MATCHES_REF
reference,0,68,153,10.0B 5.4/9.6,True,5.9PB 3.0/11.3,True,5.8PB 3.0/11.3,ALL_DIFFERENT
reference,0,102,102,5.4BG 6.2/8.0,True,4.3BG 3.8/5.5,True,4.3BG 3.8/5.5,RUST_MATCHES_REF
reference,0,34,51,2.1B 3.9/5.5,True,6.6B 1.1/3.1,True,6.6B 1.1/3.1,RUST_MATCHES_REF
reference,0,68,170,1.2PB 5.5/10.5,True,6.3PB 3.1/13.3,True,6.2PB 3.1/13.3,ALL_DIFFERENT
reference,0,102,119,8.4BG 6.2/7.9,True,0.5B 3.9/5.4,True,0.6B 3.9/5.4,ALL_DIFFERENT
reference,0,34,68,7.3B 4.0/6.7,True,3.4PB 1.3/5.0,True,3.4PB 1.3/5.0,RUST_MATCHES_REF
reference,0,68,187,2.3PB 5.5/11.4,True,6.5PB 3.3/15.0,True,6.5PB 3.3/15.2,ALL_DIFFERENT
reference,0,102,136,1.1B 6.3/7.9,True,6.1B 3.9/6.3,True,6.1B 3.9/6.2,ALL_DIFFERENT
reference,0,34,85,0.9PB 4.0/8.1,True,5.6PB 1.4/7.0,True,5.5PB 1.4/7.0,ALL_DIFFERENT
reference,0,68,204,3.2PB 5.6/12.3,True,6.8PB 3.4/15.0,True,6.7PB 3.5/17.2,ALL_DIFFERENT
reference,0,102,153,3.4B 6.3/8.2,True,0.4PB 4.0/7.8,True,0.4PB 4.0/7.8,RUST_MATCHES_REF
reference,0,34,102,2.8PB 4.1/9.6,True,6.2PB 1.6/9.1,True,6.1PB 1.6/9.1,ALL_DIFFERENT
reference,0,68,221,4.0PB 5.6/13.1,True,7.1PB 3.6/15.0,True,6.8PB 3.6/19.2,ALL_DIFFERENT
reference,0,102,170,5.1B 6.3/8.6,True,2.9PB 4.1/9.7,True,2.9PB 4.1/9.7,RUST_MATCHES_REF
reference,0,34,119,4.2PB 4.2/11.0,True,6.4PB 1.8/11.4,True,6.4PB 1.8/11.3,ALL_DIFFERENT
reference,0,68,238,4.7PB 5.7/13.9,True,6.9PB 3.8/21.2,True,6.9PB 3.8/21.2,RUST_MATCHES_REF
reference,0,102,187,6.9B 6.4/9.3,True,4.8PB 4.2/11.6,True,4.8PB 4.2/11.7,ALL_DIFFERENT
reference,0,34,153,5.6PB 4.3/13.5,True,6.7PB 2.2/15.5,True,6.7PB 2.1/15.5,ALL_DIFFERENT
reference,0,68,255,5.1PB 5.7/14.6,True,6.9PB 3.9/23.3,True,6.9PB 4.0/23.3,ALL_DIFFERENT
reference,0,102,204,8.4B 6.4/9.9,True,5.6PB 4.3/13.6,True,5.6PB 4.3/13.6,RUST_MATCHES_REF
reference,0,51,0,9.3GY 4.4/11.4,True,8.0GY 1.7/6.1,True,8.0GY 1.7/6.2,ALL_DIFFERENT
reference,0,85,0,9.6GY 5.5/13.7,True,8.9GY 3.0/9.4,True,8.9GY 3.0/9.4,RUST_MATCHES_REF
reference,0,102,221,9.7B 6.5/10.6,True,6.1PB 4.4/15.0,True,6.1PB 4.4/15.5,ALL_DIFFERENT
reference,0,51,17,2.2G 4.4/8.4,True,9.6GY 1.7/5.4,True,9.7GY 1.7/5.4,ALL_DIFFERENT
reference,0,85,17,1.2G 5.5/11.1,True,9.6GY 3.0/8.8,True,9.6GY 3.0/8.8,RUST_MATCHES_REF
reference,0,102,238,0.7PB 6.5/11.2,True,6.5PB 4.6/15.0,True,6.4PB 4.6/17.3,ALL_DIFFERENT
reference,0,51,34,8.1G 4.5/7.0,True,3.5G 1.8/4.5,True,3.5G 1.8/4.5,RUST_MATCHES_REF
reference,0,85,34,3.4G 5.6/9.8,True,0.7G 3.1/8.0,True,0.7G 3.0/8.0,ALL_DIFFERENT
reference,0,102,255,1.5PB 6.5/11.8,True,6.9PB 4.7/15.0,True,6.6PB 4.7/19.0,ALL_DIFFERENT
reference,0,51,51,4.6BG 4.6/6.3,True,3.4BG 1.8/3.8,True,3.4BG 1.8/3.8,RUST_MATCHES_REF
reference,0,85,51,6.9G 5.6/8.7,True,2.3G 3.1/6.8,True,2.3G 3.1/6.8,RUST_MATCHES_REF
reference,0,119,0,9.7GY 6.3/15.5,True,9.3GY 4.2/11.2,True,9.3GY 4.2/11.2,RUST_MATCHES_REF
reference,0,51,68,0.1B 4.6/6.2,True,4.0B 1.9/3.8,True,4.0B 1.9/3.8,RUST_MATCHES_REF
reference,0,85,68,1.6BG 5.7/7.9,True,7.1G 3.1/5.7,True,7.1G 3.1/5.7,RUST_MATCHES_REF
reference,0,119,17,0.9G 6.4/13.2,True,9.6GY 4.2/10.7,True,9.6GY 4.2/10.7,RUST_MATCHES_REF
reference,0,51,85,4.5B 4.7/6.7,True,1.2PB 2.0/5.3,True,1.2PB 2.0/5.3,RUST_MATCHES_REF
reference,0,85,85,5.1BG 5.7/7.5,True,4.0BG 3.2/5.0,True,4.0BG 3.2/5.0,RUST_MATCHES_REF
reference,0,119,34,2.2G 6.4/11.8,True,0.2G 4.2/10.1,True,0.2G 4.2/10.1,RUST_MATCHES_REF
reference,0,51,102,7.7B 4.8/7.7,True,4.6PB 2.1/7.1,True,4.5PB 2.1/7.1,ALL_DIFFERENT
reference,0,85,102,8.8BG 5.8/7.4,True,1.1B 3.2/4.8,True,1.2B 3.2/4.7,ALL_DIFFERENT
reference,0,119,51,3.9G 6.5/10.8,True,1.0G 4.3/9.4,True,0.9G 4.3/9.3,ALL_DIFFERENT
reference,0,51,119,0.3PB 4.8/8.9,True,5.7PB 2.2/9.1,True,5.7PB 2.2/9.1,RUST_MATCHES_REF
reference,0,85,119,1.9B 5.8/7.5,True,7.3B 3.3/5.6,True,7.4B 3.3/5.6,ALL_DIFFERENT
reference,0,119,68,6.4G 6.5/9.9,True,2.1G 4.3/8.4,True,2.1G 4.3/8.4,RUST_MATCHES_REF
reference,0,51,136,1.8PB 4.9/10.1,True,6.3PB 2.4/10.0,True,6.2PB 2.4/11.1,ALL_DIFFERENT
reference,0,85,136,4.3B 5.9/7.9,True,1.5PB 3.4/7.3,True,1.5PB 3.4/7.3,RUST_MATCHES_REF
reference,0,119,85,9.8G 6.5/9.2,True,4.5G 4.3/7.4,True,4.5G 4.3/7.4,RUST_MATCHES_REF
reference,0,51,153,3.0PB 4.9/11.2,True,6.8PB 2.5/10.0,True,6.5PB 2.5/13.2,ALL_DIFFERENT
reference,0,85,153,6.4B 5.9/8.6,True,4.0PB 3.5/9.2,True,4.0PB 3.5/9.2,RUST_MATCHES_REF
reference,0,119,102,3.0BG 6.6/8.7,True,9.3G 4.4/6.6,True,9.3G 4.4/6.7,ALL_DIFFERENT
reference,0,51,170,4.1PB 5.0/12.3,True,7.1PB 2.7/10.0,True,6.6PB 2.7/15.2,ALL_DIFFERENT
reference,0,85,170,8.2B 5.9/9.4,True,5.4PB 3.6/11.3,True,5.4PB 3.6/11.3,RUST_MATCHES_REF
reference,0,119,119,5.6BG 6.6/8.4,True,4.6BG 4.4/6.1,True,4.6BG 4.4/6.1,RUST_MATCHES_REF
reference,0,51,204,5.3PB 5.1/14.3,True,6.8PB 3.1/19.4,True,6.8PB 3.1/19.4,RUST_MATCHES_REF
reference,0,85,187,9.8B 6.0/10.3,True,5.9PB 3.7/13.4,True,5.9PB 3.7/13.4,RUST_MATCHES_REF
reference,0,119,136,8.2BG 6.6/8.3,True,0.0B 4.5/6.0,True,0.0B 4.5/6.0,RUST_MATCHES_REF
reference,0,51,221,5.6PB 5.1/15.1,True,7.3PB 3.3/15.0,True,6.9PB 3.3/21.2,ALL_DIFFERENT
reference,0,85,204,0.9PB 6.0/11.0,True,6.3PB 3.9/15.5,True,6.3PB 3.9/15.5,RUST_MATCHES_REF
reference,0,119,153,0.5B 6.7/8.3,True,5.0B 4.5/6.7,True,5.0B 4.5/6.7,RUST_MATCHES_REF
reference,0,68,0,9.5GY 5.0/12.8,True,8.6GY 2.4/8.0,True,8.6GY 2.4/8.0,RUST_MATCHES_REF
reference,0,85,221,1.8PB 6.1/11.7,True,6.6PB 4.0/17.6,True,6.6PB 4.0/17.6,RUST_MATCHES_REF
reference,0,119,170,2.7B 6.7/8.5,True,9.2B 4.6/8.0,True,9.2B 4.6/8.0,RUST_MATCHES_REF
reference,0,68,17,1.6G 5.0/10.0,True,9.5GY 2.4/7.4,True,9.5GY 2.4/7.4,RUST_MATCHES_REF
reference,0,85,238,2.6PB 6.1/12.4,True,6.7PB 4.1/19.2,True,6.7PB 4.2/19.2,ALL_DIFFERENT
reference,0,119,187,4.3B 6.8/8.9,True,1.9PB 4.7/9.8,True,1.8PB 4.7/9.8,ALL_DIFFERENT
reference,0,68,34,4.7G 5.1/8.5,True,1.2G 2.4/6.5,True,1.2G 2.4/6.5,RUST_MATCHES_REF
reference,0,85,255,3.3PB 6.2/13.1,True,7.3PB 4.3/15.0,True,6.8PB 4.3/21.0,ALL_DIFFERENT
reference,0,119,204,5.8B 6.8/9.3,True,3.8PB 4.8/11.7,True,3.8PB 4.8/11.7,RUST_MATCHES_REF
reference,0,68,51,0.3BG 5.1/7.5,True,5.5G 2.5/5.3,True,5.5G 2.5/5.3,RUST_MATCHES_REF
reference,0,102,0,9.6GY 5.9/14.7,True,9.1GY 3.6/10.2,True,9.1GY 3.6/10.2,RUST_MATCHES_REF
reference,0,119,221,7.3B 6.8/9.8,True,5.2PB 4.9/13.7,True,5.2PB 4.9/13.7,RUST_MATCHES_REF
reference,0,68,68,4.9BG 5.2/7.0,True,3.7BG 2.5/4.5,True,3.7BG 2.5/4.5,RUST_MATCHES_REF
reference,0,102,17,1.1G 6.0/12.4,True,9.6GY 3.6/9.7,True,9.5GY 3.6/9.7,ALL_DIFFERENT
reference,0,119,238,8.6B 6.9/10.3,True,5.8PB 5.0/15.5,True,5.8PB 5.0/15.5,RUST_MATCHES_REF
reference,0,68,85,9.3BG 5.2/6.8,True,2.2B 2.6/4.2,True,2.2B 2.6/4.2,RUST_MATCHES_REF
reference,0,102,34,2.6G 6.0/11.0,True,0.3G 3.7/9.0,True,0.3G 3.6/9.0,ALL_DIFFERENT
reference,0,119,255,9.6B 6.9/10.9,True,6.2PB 5.1/17.2,True,6.2PB 5.1/17.2,RUST_MATCHES_REF
reference,0,68,102,2.9B 5.3/7.1,True,9.1B 2.7/5.3,True,9.1B 2.7/5.3,RUST_MATCHES_REF
reference,0,102,51,4.8G 6.1/9.9,True,1.4G 3.7/8.1,True,1.4G 3.7/8.1,RUST_MATCHES_REF
reference,0,136,0,9.7GY 6.7/16.2,True,9.4GY 4.8/12.3,True,9.4GY 4.8/12.3,RUST_MATCHES_REF
reference,0,170,187,7.9BG 7.7/9.3,True,9.5BG 6.3/7.9,True,9.6BG 6.3/7.9,ALL_DIFFERENT
reference,0,221,102,4.5G 8.4/12.5,True,1.4G 7.7/14.7,True,1.5G 7.7/14.9,ALL_DIFFERENT
reference,0,136,17,0.9G 6.8/14.2,True,9.7GY 4.8/11.9,True,9.7GY 4.8/11.9,RUST_MATCHES_REF
reference,0,170,204,9.7BG 7.8/9.2,True,3.4B 6.3/8.2,True,3.4B 6.3/8.2,RUST_MATCHES_REF
reference,0,221,119,5.9G 8.4/11.9,True,2.1G 7.7/13.9,True,2.2G 7.7/14.0,ALL_DIFFERENT
reference,0,136,34,1.9G 6.8/12.7,True,0.1G 4.8/11.4,True,0.1G 4.8/11.4,RUST_MATCHES_REF
reference,0,170,221,1.4B 7.8/9.2,True,6.5B 6.4/9.2,True,6.5B 6.4/9.2,RUST_MATCHES_REF
reference,0,221,136,7.8G 8.5/11.4,True,3.0G 7.8/12.9,True,3.1G 7.8/13.1,ALL_DIFFERENT
reference,0,136,51,3.3G 6.8/11.6,True,0.7G 4.8/10.7,True,0.6G 4.8/10.7,ALL_DIFFERENT
reference,0,170,238,2.8B 7.8/9.3,True,9.4B 6.5/10.4,True,9.4B 6.5/10.4,RUST_MATCHES_REF
reference,0,221,153,9.7G 8.5/11.0,True,4.2G 7.8/12.0,True,4.2G 7.8/12.2,ALL_DIFFERENT
reference,0,136,68,4.9G 6.9/10.8,True,1.5G 4.9/10.0,True,1.4G 4.8/9.8,ALL_DIFFERENT
reference,0,170,255,3.9B 7.8/9.4,True,1.4PB 6.6/11.8,True,1.4PB 6.5/11.8,ALL_DIFFERENT
