TRACE|spec_to_xy:CALL|spec=[ 2.51243793  9.          3.27880279  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.303208    0.35313628]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.51243793  9.          3.27877002  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30320807  0.35313594]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|spec_to_xy:CALL|spec=[ 2.51243793  9.          3.27879971  3.        ]
TRACE|spec_to_xy:RESULT|xy=[ 0.30320801  0.35313625]
TRACE|spec_to_xy:CALL|spec=10.0
TRACE|spec_to_xy:RESULT|xy=[ 0.31006  0.31616]
TRACE|xyY_to_munsell:EXIT|result=[ 2.51243793  9.67570388  3.27879971  3.        ]
TRACE|main:RESULT|munsell=2.5G 9.7/3.3
TRACE|main:LAB|Lab=96.785957,-7.630947,4.365983
TRACE|main:LCHAB|LCHab=96.785957,8.791652,150.224327
