source,r,g,b,python_munsell,python_hue_num,python_hue_family,python_value,python_chroma,python_success,rust_munsell,rust_hue_num,rust_hue_family,rust_value,rust_chroma,rust_success,reference_munsell,reference_hue_num,reference_hue_family,reference_value,reference_chroma,hue_diff_py_rust,value_diff_py_rust,chroma_diff_py_rust,match_type,analysis
random,57,12,140,2.2P 4.1/16.8,2.2,P,4.1,16.8,True,8.7PB 1.8/15.6,8.7,PB,1.8,15.6,True,,,,,,3.5,2.3,1.200000000000001,DIFFERENT,Significant differences detected
random,125,114,71,0.3GY 7.2/3.0,0.3,GY,7.2,3.0,True,5.4Y 4.7/3.6,5.4,Y,4.7,3.6,True,,,,,,4.900000000000002,2.5,-0.6000000000000001,DIFFERENT,Significant differences detected
random,52,44,216,9.1PB 5.4/14.6,9.1,PB,5.4,14.6,True,7.4PB 3.4/22.6,7.4,PB,3.4,22.6,True,,,,,,1.6999999999999886,2.0000000000000004,-8.000000000000002,DIFFERENT,Significant differences detected
reference,0,0,0,FAILED,,,,,False,N 0.0,0.0,N,0.0,0.0,True,N 0.0,0.0,N,0.0,0.0,,,,CONVERSION_ISSUES,One or both conversions failed
reference,0,68,119,5.7B 5.3/7.7,5.7,B,5.3,7.7,True,2.9PB 2.8/7.0,2.9,PB,2.8,7.0,True,2.9PB 2.8/7.0,2.9,PB,2.8,7.0,-7.200000000000003,2.5,0.7000000000000002,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,102,68,8.6G 6.1/9.0,8.6,G,6.1,9.0,True,3.4G 3.7/7.0,3.4,G,3.7,7.0,True,3.4G 3.7/7.0,3.4,G,3.7,7.0,5.200000000000003,2.3999999999999995,2.0,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,34,17,4.5G 3.7/6.8,4.5,G,3.7,6.8,True,1.4G 1.0/3.8,1.4,G,1.0,3.8,True,1.4G 1.0/3.8,1.4,G,1.0,3.8,3.1000000000000014,2.7,3.0,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,68,136,8.0B 5.4/8.6,8.0,B,5.4,8.6,True,5.1PB 2.9/9.1,5.1,PB,2.9,9.1,True,5.1PB 2.9/9.1,5.1,PB,2.9,9.1,-7.099999999999994,2.5000000000000004,-0.5,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,102,85,2.5BG 6.1/8.4,2.5,BG,6.1,8.4,True,8.3G 3.8/6.1,8.3,G,3.8,6.1,True,8.3G 3.8/6.1,8.3,G,3.8,6.1,4.200000000000003,2.3,2.3000000000000007,RUST_MATCHES_REF,Rust matches reference exactly
reference,0,34,34,4.3BG 3.8/5.5,4.3,BG,3.8,5.5,True,3.0BG 1.1/3.0,3.0,BG,1.1,3.0,True,3.0BG 1.1/3.0,3.0,BG,1.1,3.0,1.2999999999999972,2.6999999999999997,2.5,RUST_MATCHES_REF,Rust matches reference exactly
