1.1R 5.0/17.5
9.2R 5.3/16.5
1.4RP 6.2/15.4
9.0RP 5.1/17.8
8.7R 5.3/16.1
9.9P 6.3/16.6
6.9RP 5.1/18.2
7.9R 5.4/15.5
8.4P 6.4/18.0
4.9RP 5.2/18.8
6.7R 5.4/15.1
7.2P 6.5/19.2
3.6RP 5.2/19.6
4.9R 5.4/14.9
3.8YR 6.2/14.0
2.3RP 5.3/20.5
2.9R 5.4/14.9
3.6YR 6.2/13.7
1.0RP 5.4/21.5
0.4R 5.5/15.0
3.2YR 6.2/13.2
9.8P 5.5/22.6
8.1RP 5.5/15.4
2.5YR 6.2/12.4
8.5P 5.6/23.7
5.8RP 5.6/16.0
1.5YR 6.2/11.7
7.5P 5.7/24.7
4.0RP 5.6/16.8
10.0R 6.2/11.1
8.4R 5.0/18.6
2.6RP 5.7/17.8
8.2R 6.3/10.6
8.1R 5.0/18.3
1.1RP 5.8/18.9
5.7R 6.3/10.4
7.6R 5.0/17.8
9.8P 5.8/19.9
2.3R 6.3/10.6
6.6R 5.0/17.3
8.5P 5.9/21.1
8.9RP 6.4/11.0
5.1R 5.1/16.9
7.3P 6.0/22.2
5.8RP 6.4/11.6
3.5R 5.1/16.8
0.5YR 5.6/15.8
3.5RP 6.5/12.4
1.4R 5.1/16.9
0.2YR 5.6/15.4
1.7RP 6.5/13.4
9.2RP 5.2/17.1
9.8R 5.6/15.0
10.0P 6.6/14.6
7.2RP 5.2/17.6
9.0R 5.6/14.5
8.3P 6.7/15.9
5.1RP 5.3/18.2
7.9R 5.6/14.0
7.1P 6.8/17.3
3.6RP 5.3/19.0
6.3R 5.6/13.7
6.0YR 6.5/13.3
8.2YR 7.4/8.0
7.8YR 8.4/2.9
5.9YR 6.5/12.9
6.7YR 7.4/7.1
1.5YR 8.4/2.5
5.5YR 6.5/12.4
4.4YR 7.5/6.2
6.9RP 8.5/3.0
4.9YR 6.6/11.7
1.3YR 7.5/5.6
8.7P 8.5/4.0
4.1YR 6.6/10.9
6.7R 7.5/5.4
6.0P 8.6/5.5
2.9YR 6.6/10.1
9.8RP 7.6/5.8
9.5Y 8.7/12.1
1.1YR 6.6/9.4
4.3RP 7.6/6.5
9.5Y 8.7/11.9
8.8R 6.6/8.9
0.9RP 7.7/7.6
9.4Y 8.7/11.6
5.7R 6.7/8.8
8.3P 7.7/8.9
9.4Y 8.7/11.1
1.5R 6.7/9.0
6.7P 7.8/10.3
9.3Y 8.7/10.3
7.6RP 6.8/9.5
3.8Y 7.8/11.9
9.2Y 8.7/9.5
4.3RP 6.8/10.3
3.7Y 7.8/11.6
9.0Y 8.7/8.5
2.1RP 6.9/11.2
3.6Y 7.8/11.3
8.8Y 8.7/7.4
0.1RP 6.9/12.5
3.4Y 7.8/10.6
8.5Y 8.8/6.3
8.3P 7.0/13.8
3.0Y 7.8/9.8
8.0Y 8.8/5.2
7.0P 7.1/15.2
2.6Y 7.8/8.9
7.2Y 8.8/4.0
8.6YR 6.9/12.6
1.8Y 7.8/7.9
6.0Y 8.8/2.9
8.4YR 6.9/12.3
0.7Y 7.8/6.9
ERROR: "array([ 3.99176436,  8.88232277,  1.86705227,  5.        ])" specification chroma must be normalised to domain [2, 50]!
8.1YR 6.9/11.8
9.3YR 7.9/5.9
ERROR: "array([ 9.19375395,  8.92405392,  1.02545711,  6.        ])" specification chroma must be normalised to domain [2, 50]!
7.7YR 6.9/11.2
7.3YR 7.9/5.0
ERROR: "array([ 1.86771843,  8.969833  ,  1.60739422,  8.        ])" specification chroma must be normalised to domain [2, 50]!
6.9YR 7.0/10.4
3.8YR 7.9/4.1
4.7P 9.0/3.2
5.9YR 7.0/9.5
8.2R 8.0/3.9
1.6GY 9.1/15.5
4.4YR 7.0/8.7
8.7RP 8.0/4.4
1.7GY 9.1/15.2
2.5YR 7.0/7.8
2.2RP 8.1/5.3
1.7GY 9.1/14.7
9.7R 7.1/7.2
8.4P 8.1/6.6
1.7GY 9.1/14.0
6.0R 7.1/7.1
6.4P 8.2/7.9
1.7GY 9.1/13.2
0.7R 7.1/7.4
6.4Y 8.2/11.9
1.8GY 9.2/12.3
6.0RP 7.2/7.9
6.3Y 8.2/11.7
1.9GY 9.2/11.3
2.9RP 7.2/8.8
6.2Y 8.2/11.3
2.0GY 9.2/10.2
0.4RP 7.3/10.0
6.0Y 8.2/10.7
2.2GY 9.2/9.0
8.3P 7.4/11.4
5.8Y 8.2/9.9
2.5GY 9.2/7.8
6.8P 7.4/12.8
5.4Y 8.2/9.0
2.8GY 9.3/6.6
1.3Y 7.3/12.1
4.9Y 8.3/8.0
3.4GY 9.3/5.3
1.1Y 7.3/11.8
4.4Y 8.3/7.0
4.5GY 9.3/3.9
0.9Y 7.3/11.4
3.6Y 8.3/5.9
5.6GY 9.4/2.6
0.6Y 7.4/10.8
2.5Y 8.3/4.8
ERROR: "array([ 8.4519184 ,  9.40199791,  1.27822306,  4.        ])" specification chroma must be normalised to domain [2, 50]!
9.2YR 7.4/9.0
0.7Y 8.4/3.8
ERROR: "array([ 9.41870142,  9.44770858,  1.70019272,  1.        ])" specification chroma must be normalised to domain [2, 50]!
7.9R 5.2/20.4
3.3RP 5.7/20.4
4.4R 5.9/15.1
7.7R 5.2/20.2
2.0RP 5.8/21.4
2.2R 6.0/15.1
7.2R 5.2/19.8
0.8RP 5.8/22.5
9.7RP 6.0/15.3
6.3R 5.2/19.3
9.6P 5.9/23.5
7.6RP 6.1/15.6
5.0R 5.3/18.8
8.5P 6.0/24.4
5.3RP 6.1/16.3
3.6R 5.3/18.6
8.6R 5.5/19.0
3.7RP 6.2/17.1
1.8R 5.3/18.6
8.4R 5.5/18.8
2.4RP 6.2/17.9
9.7RP 5.4/18.8
7.9R 5.5/18.3
0.9RP 6.3/18.9
7.9RP 5.4/19.2
7.1R 5.5/17.8
9.7P 6.4/20.0
