hex_color,r,g,b,our_munsell,our_hue_num,our_hue_family,our_value,our_chroma,closest_rgb_r,closest_rgb_g,closest_rgb_b,closest_munsell,closest_hue_num,closest_hue_family,closest_value,closest_chroma,hue_diff_circular,value_diff,chroma_diff,rgb_distance
#467129,70,113,41,7.5GY 4.2/7.0,7.5,GY,4.2,7.0,68,119,34,7.8GY 4.4/8.3,7.8,GY,4.4,8.3,0.30,-0.20,-1.30,9.4
#c9dc89,201,220,137,5.5GY 8.6/6.7,5.5,GY,8.6,6.7,204,221,136,5.4GY 8.5/6.6,5.4,GY,8.5,6.6,0.10,0.10,0.10,3.3
#8a9a5b,138,154,91,4.7GY 6.0/5.7,4.7,GY,6.0,5.7,136,153,85,5.4GY 5.9/6.0,5.4,GY,5.9,6.0,0.70,0.10,-0.30,6.4
#dadfb7,218,223,183,5.4GY 8.7/3.4,5.4,GY,8.7,3.4,221,221,187,4.4GY 8.7/2.8,4.4,GY,8.7,2.8,1.00,0.00,0.60,5.4
#8f9779,143,151,121,5.6GY 6.0/3.4,5.6,GY,6.0,3.4,136,153,119,7.3GY 6.0/3.6,7.3,GY,6.0,3.6,1.70,0.00,-0.20,7.5
#404f00,64,79,0,10YR 3.2/8.9,10,YR,3.2,8.9,68,85,0,4.5GY 3.3/6.8,4.5,GY,3.3,6.8,14.50,-0.10,2.10,7.2
#232f00,35,47,0,10YR 1.5/6.4,10,YR,1.5,6.4,34,51,0,5.2GY 1.9/5.0,5.2,GY,1.9,5.0,15.20,-0.40,1.40,4.1
#4a5d23,74,93,35,5.3GY 3.8/5.4,5.3,GY,3.8,5.4,68,102,34,6.9GY 3.9/6.8,6.9,GY,3.9,6.8,1.60,-0.10,-1.40,10.9
#2b3d26,43,61,38,4.9Y 2.2/3.3,4.9,Y,2.2,3.3,51,68,34,6.4GY 2.6/4.2,6.4,GY,2.6,4.2,11.50,-0.40,-0.90,11.4
#515744,81,87,68,3.4GY 3.8/2.1,3.4,GY,3.8,2.1,85,85,68,2.5GY 3.5/2.0,2.5,GY,3.5,2.0,0.90,0.30,0.10,4.5
#31362b,49,54,43,1.5Y 2.0/1.3,1.5,Y,2.0,1.3,51,51,51,6.8GY 2.1/0.5,6.8,GY,2.1,0.5,15.30,-0.10,0.80,8.8
#27a64c,39,166,76,10GY 5.9/10.7,10,GY,5.9,10.7,34,170,68,0.7G 6.0/12.3,0.7,G,6.0,12.3,0.70,-0.10,-1.60,10.2
#83d37d,131,211,125,10GY 7.8/9.3,10,GY,7.8,9.3,136,204,119,9.5GY 7.5/8.9,9.5,GY,7.5,8.9,0.50,0.30,0.40,10.5
#44944a,68,148,74,10GY 5.4/8.6,10,GY,5.4,8.6,68,153,68,0.1G 5.5/9.8,0.1,G,5.5,9.8,0.10,-0.10,-1.20,7.8
