hex_color,r,g,b,our_munsell,our_hue_num,our_hue_family,our_value,our_chroma,closest_rgb_r,closest_rgb_g,closest_rgb_b,closest_munsell,closest_hue_num,closest_hue_family,closest_value,closest_chroma,hue_diff_circular,value_diff,chroma_diff,rgb_distance
#602f6b,96,47,107,5.4P 2.8/7.8,5.4,P,2.8,7.8,102,51,102,9.1P 2.9/6.8,9.1,P,2.9,6.8,3.70,-0.10,1.00,8.8
#401a4c,64,26,76,3.2PB 1.5/4.5,3.2,PB,1.5,4.5,68,17,68,0.3RP 1.5/7.0,0.3,RP,1.5,7.0,17.10,0.00,-2.50,12.7
#d5badb,213,186,219,7.7P 7.9/4.1,7.7,P,7.9,4.1,221,187,221,8.7P 7.9/4.3,8.7,P,7.9,4.3,1.00,0.00,-0.20,8.3
#b695c0,182,149,192,6.3P 6.5/5.9,6.3,P,6.5,5.9,187,153,187,8.7P 6.6/4.4,8.7,P,6.6,4.4,2.40,-0.10,1.50,8.1
#86608e,134,96,142,7.5P 4.5/6.7,7.5,P,4.5,6.7,136,102,136,8.8P 4.7/4.4,8.8,P,4.7,4.4,1.30,-0.20,2.30,8.7
#563c5c,86,60,92,7.9P 3.0/4.1,7.9,P,3.0,4.1,85,68,85,9.6P 3.1/1.7,9.6,P,3.1,1.7,1.70,-0.10,2.40,10.7
#301934,48,25,52,4.7PB 1.2/2.8,4.7,PB,1.2,2.8,51,17,51,0.8RP 1.1/4.7,0.8,RP,1.1,4.7,16.10,0.10,-1.90,8.6
#d6cadd,214,202,221,2.8P 8.4/1.7,2.8,P,8.4,1.7,221,204,221,1.1RP 8.3/1.8,1.1,RP,8.3,1.8,8.30,0.10,-0.10,7.3
#aa98a9,170,152,169,10P 6.4/1.7,10,P,6.4,1.7,170,153,170,0.1RP 6.4/1.7,0.1,RP,6.4,1.7,0.10,0.00,0.00,1.4
#796878,121,104,120,9.6P 4.5/1.8,9.6,P,4.5,1.8,119,102,119,9.7P 4.4/1.8,9.7,P,4.4,1.8,0.10,0.10,0.00,3.0
#50404d,80,64,77,9.4PB 2.9/1.2,9.4,PB,2.9,1.2,85,68,85,9.6P 3.1/1.7,9.6,P,3.1,1.7,10.20,-0.20,-0.50,10.2
#291e29,41,30,41,6.7PB 1.2/1.3,6.7,PB,1.2,1.3,34,34,34,6.3GY 1.3/0.4,6.3,GY,1.3,0.4,40.40,-0.10,0.90,10.7
#e8e3e5,232,227,229,6.4GY 9.2/1.1,6.4,GY,9.2,1.1,238,221,221,9.2YR 8.9/1.0,9.2,YR,8.9,1.0,17.20,0.30,0.10,11.7
#bfb9bd,191,185,189,6.5GY 7.5/1.0,6.5,GY,7.5,1.0,187,187,187,8.2GY 7.5/0.8,8.2,GY,7.5,0.8,1.70,0.00,0.20,4.9
#8b8589,139,133,137,5.3GY 5.5/0.8,5.3,GY,5.5,0.8,136,136,136,7.8GY 5.6/0.7,7.8,GY,5.6,0.7,2.50,-0.10,0.10,4.4
#5d555b,93,85,91,7.2GY 3.8/0.5,7.2,GY,3.8,0.5,85,85,85,7.2GY 3.6/0.5,7.2,GY,3.6,0.5,0.00,0.20,0.00,10.0
#242124,36,33,36,6.7PB 1.2/0.3,6.7,PB,1.2,0.3,34,34,34,6.3GY 1.3/0.4,6.3,GY,1.3,0.4,40.40,-0.10,-0.10,3.0
#870074,135,0,116,1.1RP 3.1/13.4,1.1,RP,3.1,13.4,136,0,119,1.2RP 3.0/13.2,1.2,RP,3.0,13.2,0.10,0.10,0.20,3.2
#9e4f88,158,79,136,1.2RP 4.4/8.8,1.2,RP,4.4,8.8,153,85,136,1.5RP 4.5/7.8,1.5,RP,4.5,7.8,0.30,-0.10,1.00,7.8
#702963,112,41,99,2RP 3.0/9.1,2,RP,3.0,9.1,119,34,102,1.8RP 2.9/9.6,1.8,RP,2.9,9.6,0.20,0.10,-0.50,10.3
#54194e,84,25,78,8.6PB 1.8/4.4,8.6,PB,1.8,4.4,85,17,85,9.8P 2.0/9.3,9.8,P,2.0,9.3,11.20,-0.20,-4.90,10.7
#b784a7,183,132,167,2.3RP 6.0/5.5,2.3,RP,6.0,5.5,187,136,170,2.4RP 6.2/5.5,2.4,RP,6.2,5.5,0.10,-0.20,0.00,6.4
#915c83,145,92,131,2.4RP 4.5/5.8,2.4,RP,4.5,5.8,153,85,136,1.5RP 4.5/7.8,1.5,RP,4.5,7.8,0.90,0.00,-2.00,11.7
#5d3954,93,57,84,1.1P 2.9/2.9,1.1,P,2.9,2.9,85,51,85,9.3P 2.6/4.4,9.3,P,2.6,4.4,8.20,0.30,-1.50,10.0
#341731,52,23,49,8.4PB 1.2/2.7,8.4,PB,1.2,2.7,51,17,51,0.8RP 1.1/4.7,0.8,RP,1.1,4.7,12.40,0.10,-2.00,6.4
#aa8a9e,170,138,158,3.7RP 6.0/2.7,3.7,RP,6.0,2.7,170,136,153,5.5RP 5.9/3.2,5.5,RP,5.9,3.2,1.80,0.10,-0.50,5.4
#836479,131,100,121,2.1RP 4.5/2.4,2.1,RP,4.5,2.4,136,102,119,5.3RP 4.6/3.1,5.3,RP,4.6,3.1,3.20,-0.10,-0.70,5.7
#ffc8d6,255,200,214,1.6R 8.6/4.1,1.6,R,8.6,4.1,255,204,221,9.0RP 8.7/4.1,9,RP,8.7,4.1,2.60,-0.10,0.00,8.1
#e68fac,230,143,172,6.8RP 6.9/8.1,6.8,RP,6.9,8.1,238,136,170,7.6RP 6.8/9.5,7.6,RP,6.8,9.5,0.80,0.10,-1.40,10.8
#de6fa1,222,111,161,5.4RP 6.0/11.2,5.4,RP,6.0,11.2,221,119,153,7.8RP 6.1/9.7,7.8,RP,6.1,9.7,2.40,-0.10,1.50,11.4
#efbbcc,239,187,204,8.7RP 8.1/4.4,8.7,RP,8.1,4.4,238,187,204,8.8RP 8.0/4.4,8.8,RP,8.0,4.4,0.10,0.10,0.00,1.0
#d597ae,213,151,174,7.4RP 6.9/5.7,7.4,RP,6.9,5.7,221,153,170,9.7RP 6.9/6.0,9.7,RP,6.9,6.0,2.30,0.00,-0.30,9.2
#c17e91,193,126,145,9.6RP 5.9/5.9,9.6,RP,5.9,5.9,187,119,136,9.8RP 5.7/6.0,9.8,RP,5.7,6.0,0.20,0.20,-0.10,12.9
#e8ccd7,232,204,215,9.1RP 8.6/2.6,9.1,RP,8.6,2.6,238,204,221,6.9RP 8.5/3.0,6.9,RP,8.5,3.0,2.20,0.10,-0.40,8.5
#c3a6b1,195,166,177,8.7RP 7.1/3.0,8.7,RP,7.1,3.0,187,170,170,7.6YR 7.0/1.1,7.6,YR,7.0,1.1,18.90,0.10,1.90,11.4
#ce4676,206,70,118,8.5RP 4.9/12.3,8.5,RP,4.9,12.3,204,68,119,8.3RP 4.9/12.5,8.3,RP,4.9,12.5,0.20,0.00,-0.20,3.0
#b3446c,179,68,108,8.6RP 4.5/10.2,8.6,RP,4.5,10.2,170,68,102,9.0RP 4.3/9.5,9,RP,4.3,9.5,0.40,0.20,0.70,10.8
#78184a,120,24,74,6.9RP 2.7/9.8,6.9,RP,2.7,9.8,119,17,68,9.1RP 2.6/9.2,9.1,RP,2.6,9.2,2.20,0.10,0.60,9.3
#54133b,84,19,59,7P 1.7/4.1,7,P,1.7,4.1,85,17,51,0.6R 1.8/6.8,0.6,R,1.8,6.8,13.60,-0.10,-2.70,8.3
#a8516e,168,81,110,8.3RP 4.5/8.6,8.3,RP,4.5,8.6,170,85,102,1.6R 4.6/7.5,1.6,R,4.6,7.5,3.30,-0.10,1.10,9.2
#673147,103,49,71,7.9RP 2.8/5.6,7.9,RP,2.8,5.6,102,51,68,9.8RP 2.8/4.6,9.8,RP,2.8,4.6,1.90,0.00,1.00,3.7
#38152c,56,21,44,4.3P 1.2/2.6,4.3,P,1.2,2.6,51,17,51,0.8RP 1.1/4.7,0.8,RP,1.1,4.7,6.50,0.10,-2.10,9.5
#af868e,175,134,142,2.6R 5.9/3.8,2.6,R,5.9,3.8,170,136,136,9.6R 5.9/2.5,9.6,R,5.9,2.5,7.00,0.00,1.30,8.1
#915f6d,145,95,109,8.4RP 4.5/4.7,8.4,RP,4.5,4.7,153,102,102,7.3R 4.8/4.1,7.3,R,4.8,4.1,8.90,-0.30,0.60,12.7
#f2f3f4,242,243,244,7.5GY 9.6/1.5,7.5,GY,9.6,1.5,238,238,238,8.4GY 9.4/1.3,8.4,GY,9.4,1.3,0.90,0.20,0.20,8.8
#b9b8b5,185,184,181,4.7GY 7.4/0.9,4.7,GY,7.4,0.9,187,187,187,8.2GY 7.5/0.8,8.2,GY,7.5,0.8,3.50,-0.10,0.10,7.0
#848482,132,132,130,7.2GY 5.4/0.7,7.2,GY,5.4,0.7,136,136,136,7.8GY 5.6/0.7,7.8,GY,5.6,0.7,0.60,-0.20,0.00,8.2
#555555,85,85,85,7.2GY 3.6/0.5,7.2,GY,3.6,0.5,85,85,85,7.2GY 3.6/0.5,7.2,GY,3.6,0.5,0.00,0.00,0.00,0.0
#222222,34,34,34,6.3GY 1.3/0.4,6.3,GY,1.3,0.4,34,34,34,6.3GY 1.3/0.4,6.3,GY,1.3,0.4,0.00,0.00,0.00,0.0
