source,r,g,b,python_munsell,python_hue_num,python_hue_family,python_value,python_chroma,python_success,rust_munsell,rust_hue_num,rust_hue_family,rust_value,rust_chroma,rust_success,reference_munsell,reference_hue_num,reference_hue_family,reference_value,reference_chroma,hue_diff_py_rust,value_diff_py_rust,chroma_diff_py_rust,match_type,analysis
random,57,12,140,2.2P 4.1/16.8,2.2,P,4.1,16.8,True,"TRACE: 1. Input RGB: [57, 12, 140]
TRACE: 2. Normalized RGB: [0.2235294117647059, 0.047058823529411764, 0.5490196078431373]
TRACE: 3. Linear RGB: [0.040915, 0.003677, 0.262251]
TRACE: 4. XYZ (D65): [0.065510, 0.030259, 0.250447]
TRACE: 5. xyY (D65): [0.189218, 0.087398, 0.030259]
4.9P 2.0/20.0",,,,,True,,,,,,,,,DIFFERENT,Significant differences detected
reference,0,0,0,FAILED,,,,,False,"TRACE: 1. Input RGB: [0, 0, 0]
TRACE: 2. Normalized RGB: [0.0, 0.0, 0.0]
TRACE: 3. Linear RGB: [0.000000, 0.000000, 0.000000]
TRACE: 4. XYZ (D65): [0.000000, 0.000000, 0.000000]
TRACE: 5. xyY (D65): [0.000000, 0.000000, 0.000000]
N 0.0",,,,,True,N 0.0,0.0,N,0.0,0.0,,,,CONVERSION_ISSUES,One or both conversions failed
reference,0,68,119,5.7B 5.3/7.7,5.7,B,5.3,7.7,True,"TRACE: 1. Input RGB: [0, 68, 119]
TRACE: 2. Normalized RGB: [0.0, 0.26666666666666666, 0.4666666666666667]
TRACE: 3. Linear RGB: [0.000000, 0.057805, 0.184475]
TRACE: 4. XYZ (D65): [0.053956, 0.054654, 0.182197]
TRACE: 5. xyY (D65): [0.185539, 0.187939, 0.054654]
1.4R 2.8/8.9",,,,,True,2.9PB 2.8/7.0,2.9,PB,2.8,7.0,,,,ALL_DIFFERENT,All three results are different
reference,0,102,68,8.6G 6.1/9.0,8.6,G,6.1,9.0,True,"TRACE: 1. Input RGB: [0, 102, 68]
TRACE: 2. Normalized RGB: [0.0, 0.4, 0.26666666666666666]
TRACE: 3. Linear RGB: [0.000000, 0.132868, 0.057805]
TRACE: 4. XYZ (D65): [0.057941, 0.099193, 0.070770]
TRACE: 5. xyY (D65): [0.254234, 0.435242, 0.099193]
1.4R 3.7/7.1",,,,,True,3.4G 3.7/7.0,3.4,G,3.7,7.0,,,,ALL_DIFFERENT,All three results are different
reference,0,34,17,4.5G 3.7/6.8,4.5,G,3.7,6.8,True,"TRACE: 1. Input RGB: [0, 34, 17]
TRACE: 2. Normalized RGB: [0.0, 0.13333333333333333, 0.06666666666666667]
TRACE: 3. Linear RGB: [0.000000, 0.015996, 0.005605]
TRACE: 4. XYZ (D65): [0.006731, 0.011844, 0.007233]
TRACE: 5. xyY (D65): [0.260811, 0.458921, 0.011844]
1.4R 1.0/4.6",,,,,True,1.4G 1.0/3.8,1.4,G,1.0,3.8,,,,ALL_DIFFERENT,All three results are different
reference,0,68,136,8.0B 5.4/8.6,8.0,B,5.4,8.6,True,"TRACE: 1. Input RGB: [0, 68, 136]
TRACE: 2. Normalized RGB: [0.0, 0.26666666666666666, 0.5333333333333333]
TRACE: 3. Linear RGB: [0.000000, 0.057805, 0.246201]
TRACE: 4. XYZ (D65): [0.065094, 0.059109, 0.240856]
TRACE: 5. xyY (D65): [0.178310, 0.161917, 0.059109]
5.0R 2.9/10.1",,,,,True,5.1PB 2.9/9.1,5.1,PB,2.9,9.1,,,,ALL_DIFFERENT,All three results are different
reference,0,102,85,2.5BG 6.1/8.4,2.5,BG,6.1,8.4,True,"TRACE: 1. Input RGB: [0, 102, 85]
TRACE: 2. Normalized RGB: [0.0, 0.4, 0.3333333333333333]
TRACE: 3. Linear RGB: [0.000000, 0.132868, 0.090842]
TRACE: 4. XYZ (D65): [0.063902, 0.101578, 0.102164]
TRACE: 5. xyY (D65): [0.238757, 0.379526, 0.101578]
1.4R 3.7/5.2",,,,,True,8.3G 3.8/6.1,8.3,G,3.8,6.1,,,,ALL_DIFFERENT,All three results are different
reference,0,34,34,4.3BG 3.8/5.5,4.3,BG,3.8,5.5,True,"TRACE: 1. Input RGB: [0, 34, 34]
TRACE: 2. Normalized RGB: [0.0, 0.13333333333333333, 0.13333333333333333]
TRACE: 3. Linear RGB: [0.000000, 0.015996, 0.015996]
TRACE: 4. XYZ (D65): [0.008606, 0.012594, 0.017108]
TRACE: 5. xyY (D65): [0.224656, 0.328760, 0.012594]
1.4R 1.1/0.0",,,,,True,3.0BG 1.1/3.0,3.0,BG,1.1,3.0,,,,ALL_DIFFERENT,All three results are different
reference,0,68,153,10.0B 5.4/9.6,10.0,B,5.4,9.6,True,"TRACE: 1. Input RGB: [0, 68, 153]
TRACE: 2. Normalized RGB: [0.0, 0.26666666666666666, 0.6]
TRACE: 3. Linear RGB: [0.000000, 0.057805, 0.318547]
TRACE: 4. XYZ (D65): [0.078148, 0.064331, 0.309606]
TRACE: 5. xyY (D65): [0.172861, 0.142298, 0.064331]
1.4R 3.0/11.2",,,,,True,5.8PB 3.0/11.3,5.8,PB,3.0,11.3,,,,ALL_DIFFERENT,All three results are different
reference,0,102,102,5.4BG 6.2/8.0,5.4,BG,6.2,8.0,True,"TRACE: 1. Input RGB: [0, 102, 102]
TRACE: 2. Normalized RGB: [0.0, 0.4, 0.4]
TRACE: 3. Linear RGB: [0.000000, 0.132868, 0.132868]
TRACE: 4. XYZ (D65): [0.071485, 0.104611, 0.142102]
TRACE: 5. xyY (D65): [0.224656, 0.328760, 0.104611]
1.4R 3.8/5.1",,,,,True,4.3BG 3.8/5.5,4.3,BG,3.8,5.5,,,,ALL_DIFFERENT,All three results are different
