source,r,g,b,python_munsell,python_success,rust_munsell,rust_success,reference_munsell,match_analysis
random,57,12,140,2.2P 4.1/16.8,True,8.7PB 2.0/15.9,True,,DIFFERENT_ALGORITHMS
random,125,114,71,0.3GY 7.2/3.0,True,8.2Y 4.7/3.8,True,,DIFFERENT_ALGORITHMS
random,52,44,216,9.1PB 5.4/14.6,True,7.4PB 3.2/21.2,True,,DIFFERENT_ALGORITHMS
random,16,15,47,8.3PB 3.1/5.8,True,0.6P 0.6/3.6,True,,DIFFERENT_ALGORITHMS
random,111,119,13,2.6GY 7.1/8.7,True,2.8GY 4.7/7.6,True,,DIFFERENT_ALGORITHMS
random,101,214,112,1.2G 8.8/6.7,True,0.7G 7.7/11.6,True,,DIFFERENT_ALGORITHMS
random,229,142,3,4.3Y 8.1/11.6,True,7.8YR 6.6/12.3,True,,DIFFERENT_ALGORITHMS
random,81,216,174,8.8G 8.8/5.9,True,6.4G 7.8/9.4,True,,DIFFERENT_ALGORITHMS
random,142,79,110,4.3RP 6.6/4.5,True,5.1RP 4.1/6.2,True,,DIFFERENT_ALGORITHMS
random,172,52,47,7.2R 6.1/7.9,True,7.8R 4.0/11.2,True,,DIFFERENT_ALGORITHMS
random,194,49,183,8.9P 6.5/13.8,True,9.6P 4.7/15.0,True,,DIFFERENT_ALGORITHMS
random,176,135,22,7.1Y 7.7/8.2,True,3.6Y 5.8/8.9,True,,DIFFERENT_ALGORITHMS
random,235,63,193,0.3RP 7.1/13.2,True,1.8RP 5.6/15.0,True,,DIFFERENT_ALGORITHMS
random,40,150,185,1.3B 7.6/6.3,True,4.6B 5.7/7.2,True,,DIFFERENT_ALGORITHMS
random,98,35,23,1.9YR 4.9/5.7,True,1.8YR 2.3/6.5,True,,DIFFERENT_ALGORITHMS
random,116,148,40,5.5GY 7.7/7.3,True,5.8GY 5.6/8.8,True,,DIFFERENT_ALGORITHMS
random,119,51,194,4.3P 6.0/12.8,True,1.4P 3.8/17.4,True,,DIFFERENT_ALGORITHMS
random,142,232,186,4.2G 9.3/5.1,True,4.0G 8.5/7.3,True,,DIFFERENT_ALGORITHMS
random,83,189,181,3.8BG 8.4/4.9,True,3.5BG 7.0/7.2,True,,DIFFERENT_ALGORITHMS
random,107,136,36,5.3GY 7.4/7.2,True,5.7GY 5.2/8.3,True,,DIFFERENT_ALGORITHMS
reference,0,0,0,FAILED,False,N 0.0,True,N 0.0,RUST_MATCHES_REF
reference,0,68,119,5.7B 5.3/7.7,True,2.9PB 2.8/7.0,True,2.9PB 2.8/7.0,RUST_MATCHES_REF
reference,0,102,68,8.6G 6.1/9.0,True,3.4G 3.7/7.0,True,3.4G 3.7/7.0,RUST_MATCHES_REF
reference,0,34,17,4.5G 3.7/6.8,True,1.4G 1.0/3.8,True,1.4G 1.0/3.8,RUST_MATCHES_REF
reference,0,68,136,8.0B 5.4/8.6,True,5.1PB 2.9/9.1,True,5.1PB 2.9/9.1,RUST_MATCHES_REF
reference,0,102,85,2.5BG 6.1/8.4,True,8.3G 3.7/6.1,True,8.3G 3.8/6.1,ALL_DIFFERENT
reference,0,34,34,4.3BG 3.8/5.5,True,3.0BG 1.1/3.0,True,3.0BG 1.1/3.0,RUST_MATCHES_REF
reference,0,68,153,10.0B 5.4/9.6,True,5.9PB 3.0/11.3,True,5.8PB 3.0/11.3,ALL_DIFFERENT
reference,0,102,102,5.4BG 6.2/8.0,True,4.3BG 3.8/5.5,True,4.3BG 3.8/5.5,RUST_MATCHES_REF
reference,0,34,51,2.1B 3.9/5.5,True,6.6B 1.1/3.1,True,6.6B 1.1/3.1,RUST_MATCHES_REF
reference,0,68,170,1.2PB 5.5/10.5,True,6.3PB 3.1/13.3,True,6.2PB 3.1/13.3,ALL_DIFFERENT
reference,0,102,119,8.4BG 6.2/7.9,True,0.5B 3.9/5.4,True,0.6B 3.9/5.4,ALL_DIFFERENT
reference,0,34,68,7.3B 4.0/6.7,True,3.4PB 1.3/5.0,True,3.4PB 1.3/5.0,RUST_MATCHES_REF
reference,0,68,187,2.3PB 5.5/11.4,True,6.5PB 3.3/15.0,True,6.5PB 3.3/15.2,ALL_DIFFERENT
reference,0,102,136,1.1B 6.3/7.9,True,6.1B 3.9/6.3,True,6.1B 3.9/6.2,ALL_DIFFERENT
reference,0,34,85,0.9PB 4.0/8.1,True,5.6PB 1.4/7.0,True,5.5PB 1.4/7.0,ALL_DIFFERENT
reference,0,68,204,3.2PB 5.6/12.3,True,6.8PB 3.4/15.0,True,6.7PB 3.5/17.2,ALL_DIFFERENT
reference,0,102,153,3.4B 6.3/8.2,True,0.4PB 4.0/7.8,True,0.4PB 4.0/7.8,RUST_MATCHES_REF
reference,0,34,102,2.8PB 4.1/9.6,True,6.2PB 1.6/9.1,True,6.1PB 1.6/9.1,ALL_DIFFERENT
reference,0,68,221,4.0PB 5.6/13.1,True,7.1PB 3.6/15.0,True,6.8PB 3.6/19.2,ALL_DIFFERENT
