source,r,g,b,python_munsell,python_hue_num,python_hue_family,python_value,python_chroma,python_success,rust_munsell,rust_hue_num,rust_hue_family,rust_value,rust_chroma,rust_success,reference_munsell,reference_hue_num,reference_hue_family,reference_value,reference_chroma,hue_diff_py_rust,value_diff_py_rust,chroma_diff_py_rust,match_type,analysis
reference,0,102,136,1.1B 6.3/7.9,1.1,B,6.3,7.9,True,5.0PB 3.9/2.0,5.0,PB,3.9,2.0,True,6.1B 3.9/6.2,6.1,B,3.9,6.2,-13.899999999999999,2.4,5.9,ALL_DIFFERENT,All three results are different
reference,0,34,85,0.9PB 4.0/8.1,0.9,PB,4.0,8.1,True,5.0PB 1.4/2.0,5.0,PB,1.4,2.0,True,5.5PB 1.4/7.0,5.5,PB,1.4,7.0,-4.099999999999994,2.6,6.1,ALL_DIFFERENT,All three results are different
reference,0,68,204,3.2PB 5.6/12.3,3.2,PB,5.6,12.3,True,7.5PB 3.5/4.0,7.5,PB,3.5,4.0,True,6.7PB 3.5/17.2,6.7,PB,3.5,17.2,-4.299999999999997,2.0999999999999996,8.3,ALL_DIFFERENT,All three results are different
reference,0,102,153,3.4B 6.3/8.2,3.4,B,6.3,8.2,True,5.0PB 4.0/2.0,5.0,PB,4.0,2.0,True,0.4PB 4.0/7.8,0.4,PB,4.0,7.8,-11.600000000000001,2.3,6.199999999999999,ALL_DIFFERENT,All three results are different
reference,0,34,102,2.8PB 4.1/9.6,2.8,PB,4.1,9.6,True,5.0PB 1.6/2.0,5.0,PB,1.6,2.0,True,6.1PB 1.6/9.1,6.1,PB,1.6,9.1,-2.200000000000003,2.4999999999999996,7.6,ALL_DIFFERENT,All three results are different
reference,0,68,221,4.0PB 5.6/13.1,4.0,PB,5.6,13.1,True,7.5PB 3.7/4.0,7.5,PB,3.7,4.0,True,6.8PB 3.6/19.2,6.8,PB,3.6,19.2,-3.5,1.8999999999999995,9.1,ALL_DIFFERENT,All three results are different
reference,0,102,170,5.1B 6.3/8.6,5.1,B,6.3,8.6,True,5.0PB 4.1/2.0,5.0,PB,4.1,2.0,True,2.9PB 4.1/9.7,2.9,PB,4.1,9.7,-9.900000000000006,2.2,6.6,ALL_DIFFERENT,All three results are different
reference,0,34,119,4.2PB 4.2/11.0,4.2,PB,4.2,11.0,True,7.5PB 1.8/4.0,7.5,PB,1.8,4.0,True,6.4PB 1.8/11.3,6.4,PB,1.8,11.3,-3.299999999999997,2.4000000000000004,7.0,ALL_DIFFERENT,All three results are different
reference,0,68,238,4.7PB 5.7/13.9,4.7,PB,5.7,13.9,True,7.5PB 3.8/4.0,7.5,PB,3.8,4.0,True,6.9PB 3.8/21.2,6.9,PB,3.8,21.2,-2.799999999999997,1.9000000000000004,9.9,ALL_DIFFERENT,All three results are different
reference,0,102,187,6.9B 6.4/9.3,6.9,B,6.4,9.3,True,5.0PB 4.2/2.0,5.0,PB,4.2,2.0,True,4.8PB 4.2/11.7,4.8,PB,4.2,11.7,-8.099999999999994,2.2,7.300000000000001,ALL_DIFFERENT,All three results are different
reference,0,34,153,5.6PB 4.3/13.5,5.6,PB,4.3,13.5,True,7.5PB 2.2/4.0,7.5,PB,2.2,4.0,True,6.7PB 2.1/15.5,6.7,PB,2.1,15.5,-1.9000000000000057,2.0999999999999996,9.5,ALL_DIFFERENT,All three results are different
reference,0,68,255,5.1PB 5.7/14.6,5.1,PB,5.7,14.6,True,7.5PB 4.0/4.0,7.5,PB,4.0,4.0,True,6.9PB 4.0/23.3,6.9,PB,4.0,23.3,-2.4000000000000057,1.7000000000000002,10.6,ALL_DIFFERENT,All three results are different
reference,0,102,204,8.4B 6.4/9.9,8.4,B,6.4,9.9,True,5.0PB 4.3/2.0,5.0,PB,4.3,2.0,True,5.6PB 4.3/13.6,5.6,PB,4.3,13.6,-6.599999999999994,2.1000000000000005,7.9,ALL_DIFFERENT,All three results are different
reference,0,51,0,9.3GY 4.4/11.4,9.3,GY,4.4,11.4,True,5.0GY 1.7/2.0,5.0,GY,1.7,2.0,True,8.0GY 1.7/6.2,8.0,GY,1.7,6.2,4.299999999999997,2.7,9.4,ALL_DIFFERENT,All three results are different
reference,0,85,0,9.6GY 5.5/13.7,9.6,GY,5.5,13.7,True,5.0GY 3.0/2.0,5.0,GY,3.0,2.0,True,8.9GY 3.0/9.4,8.9,GY,3.0,9.4,4.600000000000001,2.5,11.7,ALL_DIFFERENT,All three results are different
reference,0,102,221,9.7B 6.5/10.6,9.7,B,6.5,10.6,True,5.0PB 4.5/2.0,5.0,PB,4.5,2.0,True,6.1PB 4.4/15.5,6.1,PB,4.4,15.5,-5.299999999999997,2.0,8.6,ALL_DIFFERENT,All three results are different
reference,0,51,17,2.2G 4.4/8.4,2.2,G,4.4,8.4,True,7.5GY 1.7/2.0,7.5,GY,1.7,2.0,True,9.7GY 1.7/5.4,9.7,GY,1.7,5.4,4.700000000000003,2.7,6.4,ALL_DIFFERENT,All three results are different
reference,0,85,17,1.2G 5.5/11.1,1.2,G,5.5,11.1,True,5.0GY 3.0/2.0,5.0,GY,3.0,2.0,True,9.6GY 3.0/8.8,9.6,GY,3.0,8.8,6.200000000000003,2.5,9.1,ALL_DIFFERENT,All three results are different
reference,0,102,238,0.7PB 6.5/11.2,0.7,PB,6.5,11.2,True,5.0PB 4.6/2.0,5.0,PB,4.6,2.0,True,6.4PB 4.6/17.3,6.4,PB,4.6,17.3,-4.299999999999997,1.9000000000000004,9.2,ALL_DIFFERENT,All three results are different
reference,0,51,34,8.1G 4.5/7.0,8.1,G,4.5,7.0,True,5.0G 1.8/2.0,5.0,G,1.8,2.0,True,3.5G 1.8/4.5,3.5,G,1.8,4.5,3.1000000000000014,2.7,5.0,ALL_DIFFERENT,All three results are different
reference,0,85,34,3.4G 5.6/9.8,3.4,G,5.6,9.8,True,7.5GY 3.0/2.0,7.5,GY,3.0,2.0,True,0.7G 3.0/8.0,0.7,G,3.0,8.0,5.899999999999999,2.5999999999999996,7.800000000000001,ALL_DIFFERENT,All three results are different
reference,0,102,255,1.5PB 6.5/11.8,1.5,PB,6.5,11.8,True,5.0PB 4.7/2.0,5.0,PB,4.7,2.0,True,6.6PB 4.7/19.0,6.6,PB,4.7,19.0,-3.5,1.7999999999999998,9.8,ALL_DIFFERENT,All three results are different
reference,0,51,51,4.6BG 4.6/6.3,4.6,BG,4.6,6.3,True,2.5BG 1.8/2.0,2.5,BG,1.8,2.0,True,3.4BG 1.8/3.8,3.4,BG,1.8,3.8,2.1000000000000014,2.8,4.3,ALL_DIFFERENT,All three results are different
reference,0,85,51,6.9G 5.6/8.7,6.9,G,5.6,8.7,True,2.5G 3.1/2.0,2.5,G,3.1,2.0,True,2.3G 3.1/6.8,2.3,G,3.1,6.8,4.399999999999999,2.4999999999999996,6.699999999999999,ALL_DIFFERENT,All three results are different
reference,0,119,0,9.7GY 6.3/15.5,9.7,GY,6.3,15.5,True,5.0GY 4.2/2.0,5.0,GY,4.2,2.0,True,9.3GY 4.2/11.2,9.3,GY,4.2,11.2,4.700000000000003,2.0999999999999996,13.5,ALL_DIFFERENT,All three results are different
reference,0,51,68,0.1B 4.6/6.2,0.1,B,4.6,6.2,True,7.5PB 1.9/2.0,7.5,PB,1.9,2.0,True,4.0B 1.9/3.8,4.0,B,1.9,3.8,-17.4,2.6999999999999997,4.2,ALL_DIFFERENT,All three results are different
reference,0,85,68,1.6BG 5.7/7.9,1.6,BG,5.7,7.9,True,7.5G 3.1/2.0,7.5,G,3.1,2.0,True,7.1G 3.1/5.7,7.1,G,3.1,5.7,4.100000000000001,2.6,5.9,ALL_DIFFERENT,All three results are different
reference,0,119,17,0.9G 6.4/13.2,0.9,G,6.4,13.2,True,5.0GY 4.2/2.0,5.0,GY,4.2,2.0,True,9.6GY 4.2/10.7,9.6,GY,4.2,10.7,5.899999999999999,2.2,11.2,ALL_DIFFERENT,All three results are different
reference,0,51,85,4.5B 4.7/6.7,4.5,B,4.7,6.7,True,5.0PB 2.0/2.0,5.0,PB,2.0,2.0,True,1.2PB 2.0/5.3,1.2,PB,2.0,5.3,-10.5,2.7,4.7,ALL_DIFFERENT,All three results are different
reference,0,85,85,5.1BG 5.7/7.5,5.1,BG,5.7,7.5,True,2.5BG 3.2/2.0,2.5,BG,3.2,2.0,True,4.0BG 3.2/5.0,4.0,BG,3.2,5.0,2.6000000000000014,2.5,5.5,ALL_DIFFERENT,All three results are different
reference,0,119,34,2.2G 6.4/11.8,2.2,G,6.4,11.8,True,7.5GY 4.2/2.0,7.5,GY,4.2,2.0,True,0.2G 4.2/10.1,0.2,G,4.2,10.1,4.700000000000003,2.2,9.8,ALL_DIFFERENT,All three results are different
reference,0,51,102,7.7B 4.8/7.7,7.7,B,4.8,7.7,True,5.0PB 2.1/2.0,5.0,PB,2.1,2.0,True,4.5PB 2.1/7.1,4.5,PB,2.1,7.1,-7.299999999999997,2.6999999999999997,5.7,ALL_DIFFERENT,All three results are different
reference,0,85,102,8.8BG 5.8/7.4,8.8,BG,5.8,7.4,True,7.5BG 3.2/2.0,7.5,BG,3.2,2.0,True,1.2B 3.2/4.7,1.2,B,3.2,4.7,1.2999999999999972,2.5999999999999996,5.4,ALL_DIFFERENT,All three results are different
reference,0,119,51,3.9G 6.5/10.8,3.9,G,6.5,10.8,True,7.5GY 4.2/2.0,7.5,GY,4.2,2.0,True,0.9G 4.3/9.3,0.9,G,4.3,9.3,6.399999999999999,2.3,8.8,ALL_DIFFERENT,All three results are different
reference,0,51,119,0.3PB 4.8/8.9,0.3,PB,4.8,8.9,True,5.0PB 2.3/2.0,5.0,PB,2.3,2.0,True,5.7PB 2.2/9.1,5.7,PB,2.2,9.1,-4.700000000000003,2.5,6.9,ALL_DIFFERENT,All three results are different
reference,0,85,119,1.9B 5.8/7.5,1.9,B,5.8,7.5,True,5.0PB 3.3/2.0,5.0,PB,3.3,2.0,True,7.4B 3.3/5.6,7.4,B,3.3,5.6,-13.100000000000001,2.5,5.5,ALL_DIFFERENT,All three results are different
reference,0,119,68,6.4G 6.5/9.9,6.4,G,6.5,9.9,True,10.0GY 4.3/2.0,10.0,GY,4.3,2.0,True,2.1G 4.3/8.4,2.1,G,4.3,8.4,6.399999999999999,2.2,7.9,ALL_DIFFERENT,All three results are different
reference,0,51,136,1.8PB 4.9/10.1,1.8,PB,4.9,10.1,True,5.0PB 2.4/2.0,5.0,PB,2.4,2.0,True,6.2PB 2.4/11.1,6.2,PB,2.4,11.1,-3.200000000000003,2.5000000000000004,8.1,ALL_DIFFERENT,All three results are different
reference,0,85,136,4.3B 5.9/7.9,4.3,B,5.9,7.9,True,5.0PB 3.4/2.0,5.0,PB,3.4,2.0,True,1.5PB 3.4/7.3,1.5,PB,3.4,7.3,-10.700000000000003,2.5000000000000004,5.9,ALL_DIFFERENT,All three results are different
reference,0,119,85,9.8G 6.5/9.2,9.8,G,6.5,9.2,True,5.0G 4.3/2.0,5.0,G,4.3,2.0,True,4.5G 4.3/7.4,4.5,G,4.3,7.4,4.799999999999997,2.2,7.199999999999999,ALL_DIFFERENT,All three results are different
reference,0,51,153,3.0PB 4.9/11.2,3.0,PB,4.9,11.2,True,7.5PB 2.6/4.0,7.5,PB,2.6,4.0,True,6.5PB 2.5/13.2,6.5,PB,2.5,13.2,-4.5,2.3000000000000003,7.199999999999999,ALL_DIFFERENT,All three results are different
reference,0,85,153,6.4B 5.9/8.6,6.4,B,5.9,8.6,True,5.0PB 3.5/2.0,5.0,PB,3.5,2.0,True,4.0PB 3.5/9.2,4.0,PB,3.5,9.2,-8.599999999999994,2.4000000000000004,6.6,ALL_DIFFERENT,All three results are different
reference,0,119,102,3.0BG 6.6/8.7,3.0,BG,6.6,8.7,True,10.0G 4.4/2.0,10.0,G,4.4,2.0,True,9.3G 4.4/6.7,9.3,G,4.4,6.7,3.0,2.1999999999999993,6.699999999999999,ALL_DIFFERENT,All three results are different
reference,0,51,170,4.1PB 5.0/12.3,4.1,PB,5.0,12.3,True,7.5PB 2.8/4.0,7.5,PB,2.8,4.0,True,6.6PB 2.7/15.2,6.6,PB,2.7,15.2,-3.4000000000000057,2.2,8.3,ALL_DIFFERENT,All three results are different
reference,0,85,170,8.2B 5.9/9.4,8.2,B,5.9,9.4,True,5.0PB 3.6/2.0,5.0,PB,3.6,2.0,True,5.4PB 3.6/11.3,5.4,PB,3.6,11.3,-6.799999999999997,2.3000000000000003,7.4,ALL_DIFFERENT,All three results are different
reference,0,119,119,5.6BG 6.6/8.4,5.6,BG,6.6,8.4,True,2.5BG 4.4/2.0,2.5,BG,4.4,2.0,True,4.6BG 4.4/6.1,4.6,BG,4.4,6.1,3.1000000000000014,2.1999999999999993,6.4,ALL_DIFFERENT,All three results are different
