name,coordinates
Dallas Brown,#6E4B26
Driftwood Brown,#AF8751
Raw Umber brown,#734A12
Attractive Brown,#73493B
Dark Tan Brown,#661010
Toast Brown,#9A6E61
Date Fruit Brown,#AF642B
Copper Rust Brown,#944747
Chocolate Cremoso,#694634
Chocolate Drizzle,#482A2B
Chocolate Rose,#661D05
Chocolate Cream,#C0856B
Chocolate Milk,#BD8876
Chocolate Kisses,#3C1421
Chocolate Gelato,#C4A088
Chocolate Ice Cream,#9E7462
Swiss Chocolate,#9B5639
Secret Chocolate,#504546
Chocolate Pudding,#644638
Chocolate Torte,#392E2D
Bitter Chocolate (Pantone),#503130
Chocolate Chip,#685A4E
Hot Chocolate,#683B39
Chocolate Fondant,#56352D
Chocolate Martini,#56443F
Chocolate Brown (Pantone),#4E403B
Shaved Chocolate,#553C36
Chocolate Lab,#5C3E35
Chocolate Plum,#3D2D2E
Bitter Chocolate CMYK,#251611
Chocolate Malt,#907162
Decadent Chocolate,#513235
Soft Chocolate,#867970
Chocolate Truffle,#612E35
Dark Chocolate CMYK,#32231F
Milk Chocolate CMYK,#A86E53
Dark Chocolate Brown,#332421
Chocolate CMYK,#CA6323
White Chocolate,#EDE6D6
Dark Chocolate,#352620
Sweet Chocolate,#643A2C
Brown Chocolate,#563829
Chocolate Cookie,#5F4336
Deep Chocolate,#4F1C17
Milk Chocolate,#A16B4C
Chocolate Brown,#3F000F
Warm Chocolate,#6E2A05
Pastel Chocolate,#A7796D
Pale Chocolate,#B49992
Bitter Chocolate,#2B1A15
Light Chocolate,#8F6251
Black Chocolate,#1B1811
Chocolate Brown (RAL),#432F29
Chocolate Cosmos,#58111A
Chocolate (Traditional),#7B3F00
Chocolate,#D2691E
Mint Choco Chip,#BDE8D4
Kilimanjaro,#6B5343
Mocaccino,#AB845F
Coffee,#6F4E37
Cocoa Brown,#D2691E
Cookie,#E6CEA0
Cookie Dark Brown,#493332
Mint Cream,#F5FFFA
Business Maroon,#3B1410
Nobel Maroon,#621714
Palace Maroon,#702525
Extreme Maroon,#330703
Casual Maroon,#35181C
Transparent Maroon,#803C43
Maroon (Crayola),#C32148
Athletic Maroon,#551825
Marooned Blue,#352640
Classic Maroon,#6F100F
Deep Maroon,#5D100A
Chinese Maroon,#8B2614
Heather Maroon,#632024
Maroon (Pantone),#844655
New Maroon,#6B3339
Maroon Banner,#5B2B38
Matte Maroon,#671819
Light Maroon,#D03D56
Dark Maroon,#510400
Bright Maroon,#BC2D24
Maroon CMYK,#761F14
Red Maroon,#8F0B0B
Faded Maroon,#68221F
Glossy Maroon,#8F011B
Pastel Maroon,#944547
Vintage Maroon,#621D1D
Aesthetic Maroon,#78081C
Soft Maroon,#B5406C
Royal Maroon,#670E10
Maroon (X11),#B03060
Maroon,#800000
海老茶 (Ebicha),#5E2824
Burgundy,#800020
Cotton Indigo,#066976
Indigo (Xona),#082E54
Pastel Light Indigo,#BDC1FF
Kawaii Indigo,#C5BDEA
Supreme Indigo,#382080
Simple Indigo,#51428F
Intense Indigo,#3B059F
Indigo Ocean,#485479
Lavender Indigo,#503E75
Japanese Indigo,#264348
Aesthetic Indigo,#36285B
Muted Indigo,#4C367E
Bright Indigo,#6E00FF
Suede Indigo,#585D6D
Indigo Black,#002E51
Indigo Red,#695A78
Indigo Blue (RAL Design),#006973
Woad Indigo,#6C9898
Indigo Navy Blue,#4C5E87
Strong Indigo,#3D009F
Heather Indigo,#2D2643
Vivid Indigo,#6F00EE
Indigo Violet,#242C52
Vintage Indigo,#4A556B
Natural Indigo,#003740
Blue Indigo (Pantone),#49516D
Mood Indigo,#353A4C
Indigo (Pantone),#4C3957
Indigo Bunting,#006CA9
Violet Indigo,#3E295C
Indigo Carmine,#1A3338
Pastel Indigo,#8686AF
Royal Indigo,#240952
Neon Indigo,#7B00FF
Purple Indigo,#2C106A
Indigo Denim,#2F314E
Dark Pastel Indigo,#543E7A
Pale Indigo,#9892B1
Blue Indigo,#5710E5
Spectrum Indigo,#4D2CF1
Matte Indigo,#412D6C
Indigo CMYK,#524FA1
Rainbow Indigo,#6707E4
Dark Indigo,#2A0D5D
Indigo Blue,#3F0FB7
Deep Indigo,#2B0071
Electric Indigo,#5500FF
Persian Indigo,#32127A
Indigo Dye,#091F92
Indigo,#4B0082
Traditional Indigo,#274788
Hippie Blue,#331878
藍鼠 (Ainezumi),#5C544E
藍媚茶 (Aikobicha),#473F2D
藍墨茶 (Aisumicha),#393432
藍白 (Aijiro),#EBF6F7
藍海松茶 (Aimirucha),#2E372E
India Blue,#312C6A
藍色 (Ai-iro),#264348
Casual Navy,#0A0C19
Authentic Navy,#2B2450
Pastel Light Navy,#64669E
Attractive Navy,#3A3866
Dolphin Navy,#646077
Bold Navy,#101372
Bright Navy,#384793
Business Navy,#2B3249
American Navy,#03285C
Beyond Navy,#121248
Extreme Navy,#191829
Nautical Navy,#192343
Navy Green,#384918
Cosmic Navy,#395075
Collegiate Navy,#2D364C
Heather Navy,#364062
Elegant Navy,#253568
Solid Navy,#142755
Rich Navy,#535E8D
Digital Navy,#000080
Oxford Navy,#001A46
Pale Navy,#7B84A1
Misty Navy,#646A95
Neon Navy,#281C6C
Marine Navy,#101E4A
Navy Peony,#21385B
Electric Navy,#2E1FB6
French Navy Blue,#022658
Gray Navy,#656B83
Midnight Navy,#1B2452
Light Navy,#5C6B9C
Neutral Navy,#43455B
Worn Navy,#3A505A
Shiny Navy,#06068F
Coral Navy,#180A54
Mystic Navy,#2F3951
Military Navy,#39385C
Comfort Navy,#4E5F8C
Navy Dark Blue,#004C6A
Dark Navy,#1D2545
Dusty Navy,#5C6680
Navy Blue (Pantone),#403F6F
Navy Black,#263032
Matte Navy Blue,#2E2467
Peacock Navy,#071048
Muted Navy Blue,#4B456B
Dark Navy Blue,#0B0B45
Royal Navy,#1A0076
Navy CMYK,#2F2B75
Classic Navy,#313B7B
Deep Navy Blue,#000052
Navy Blue,#2D2363
Pastel Navy Blue,#5E5CB2
Faded Navy,#363B5E
Soft Navy Blue,#3D3D90
Purple Navy,#4E5180
True Navy (Pantone),#3F5277
Faded Navy Blue,#414375
Transparent Cyan,#B4D1D0
Pure Cyan (RAL Design),#36BFA8
Retro Cyan,#69ABAB
Pale Cyan,#C0EDF2
Green Cyan,#3AEDCC
Neon Cyan,#4BF0FC
Bright Cyan,#09D0EF
Bold Cyan,#09BFC9
Average Cyan,#21D9EA
Chinese Cyan,#60B0AE
Strong Cyan,#33ECF5
True Cyan,#0EE3D8
Neutral Cyan,#8E9899
Cyan Blue (RAL Design),#006F86
Glossy Cyan,#13DAE9
Matte Cyan,#0EB8BE
Light Cyan (RAL Design),#B6CAD7
Full Cyan,#00FFFF
Cyan Blue,#15A3C7
Cyaneus,#557EA2
Metallic Cyan,#37F5EB
Anthocyanin,#882E5F
Vivid Cyan,#00EAFF
Pure Cyan,#00FFFF
Cyan CMYK,#00AEEF
Pastel Cyan,#A4D8D8
Dull Cyan,#749E9F
Deep Cyan,#008584
Soft Cyan,#B2F3F3
Dark Cyan,#008B8B
Light Cyan,#E0FFFF
Cyan,#00FFFF
Skype Blue,#00AFF0
Skin CMYK,#E2B7A7
UNICEF Blue,#1CABE2
Golden Yellow CMYK,#FFCB05
Phthalo Blue,#040967
Phthalo Green,#043A14
Placid,#67A2B9
Brass CMYK,#BDA632
Melon CMYK,#FABFB7
Platinum CMYK,#E2DDDB
Rich Black CMYK,#0D131A
White CMYK,#FFFFFF
Rich Coffee CMYK,#492E28
Prussian Blue CMYK,#083050
Orchid CMYK,#C77EB5
Gamboge CMYK,#E4A025
Lilac CMYK,#DFCCE4
Saffron CMYK,#FFCB05
Cerise CMYK,#D91965
Neon Green CMYK,#72BF44
Cerulean CMYK,#0080AA
Rust CMYK,#B83B26
Ebony CMYK,#5C5D54
Blush CMYK,#DD6E86
Sun CMYK,#FFE06A
Tangerine CMYK,#F79433
Iced Aqua,#ACD3DC
Aqua Squeeze,#E8F5F2
Turquoise Aquamarine,#039EB9
Turquoise Aquagem,#78C0CD
Pastel Light Aqua,#DCF3F5
Aqua (Xona),#A1DAD7
Cute Aqua,#B1E6EA
Aquatic (Pantone),#9AC1CC
Uplifting Aqua,#A3D6DE
Aqua Spring,#EAF9F5
Aqua Blue (RAL Design),#79B6BC
Kawaii Aqua,#C3E8EE
Aqua Mist,#EDF5F5
Neon Aqua Blue,#23C1FF
Aquatic,#63CEEF
Aquamarine (Crayola),#95E0E8
Heavenly Aqua,#89DEF6
Almost Aqua,#CAD3C1
Aqua Foam,#ADC3B4
Aqua (Pantone),#65A1AD
Aqua Inlet,#70D1F7
Cool Aqua,#8BEDF4
Royal Aqua,#06C0DD
Aquarius (Pantone),#3CADD4
Aquamarine (Pantone),#9DC3D4
Pearl Aqua,#AEDDD6
Full Aqua,#1FE1E7
Aqua Blue,#65D8EC
Royal Aquamarine,#38AE90
Aqua Green,#4DE9D9
Aqua Blast,#84E9EC
Aquatic Blue,#12DBF1
Medium Aqua,#6BEAE8
Deep Aqua Blue,#1396C9
Aquamarine Blue (RAL Design),#319F9F
Fresh Aqua,#94F1FD
New Aqua,#9FFAFF
Aquarius,#3A8CC3
Light Aqua,#CFF8F8
Matte Aqua,#99D1D5
Vintage Aqua,#6AB4C9
Pale Aqua (Pantone),#C1CCC2
Aqua Green (Pantone),#00B89F
Coral Aqua,#58D6DB
Aqua Glass,#D2E8DF
Aqua Hint,#E6FCFE
Dusty Aqua (Pantone),#C0DCCD
Clearly Aqua,#CEE1D4
Bright Aqua (Pantone),#30A299
Aquarelle,#61AAB1
Aqua Green (RAL Design),#CEDCA0
Aqua Sky,#7BC4C4
Bleached Aqua,#BCE3DF
Dusty Aqua,#A2DEE6
Fair Aqua,#B8E2DC
Aqua-Esque,#A3CCD6
Aqua Gray,#A5B2AA
Aqua Sea,#6BAAAE
Aqua Splash,#85CED1
Fuchsia (Xona),#7A58C1
Festival Fuchsia,#9E2C6A
Royal Fuchsia,#8C278C
Fuchsia Red (RAL Design),#A53152
Pastel Fuchsia,#FF91D9
Fuchsia Pink,#DF88B7
Bright Fuchsia,#FF5BFC
Fuchsia Red,#AB3475
Fuchsia Fedora,#CA4286
Dark Fuchsia,#9B3B9B
Vivid Fuchsia,#FD28EC
Matte Fuchsia,#C46DC4
Neon Fuchsia,#FF0EF3
Fuchsia CMYK,#D958A0
Fuchsia Purple,#CC397B
Fuchsia Rose,#C74375
Antique Fuchsia,#915C83
French Fuchsia,#FD3F92
Deep Fuchsia,#C154C1
Fuchsia,#FF00FF
Hollywood,#F400A1
Magenta,#FF00FF
Roseine,#EF02F3
Hot Pink,#FF69B4
